documentId,claimId,documentType,uploadDate,fileReference
DOC0001,CLM001,MedicalReport,2025-03-21,/claim-docs/CLM001/medicalreport_0001.pdf
DOC0002,CLM002,PoliceReport,2025-12-15,/claim-docs/CLM002/policereport_0002.pdf
DOC0003,CLM002,RepairEstimate,2025-12-14,/claim-docs/CLM002/repairestimate_0003.pdf
DOC0004,CLM003,ClaimForm,2025-02-03,/claim-docs/CLM003/claimform_0004.pdf
DOC0005,CLM003,PoliceReport,2025-09-02,/claim-docs/CLM003/policereport_0005.pdf
DOC0006,CLM003,MedicalReport,2025-10-18,/claim-docs/CLM003/medicalreport_0006.pdf
DOC0007,CLM004,PhotoEvidence,2025-03-02,/claim-docs/CLM004/photoevidence_0007.pdf
DOC0008,CLM005,MedicalReport,2025-01-12,/claim-docs/CLM005/medicalreport_0008.pdf
DOC0009,CLM005,PoliceReport,2025-11-08,/claim-docs/CLM005/policereport_0009.pdf
DOC0010,CLM006,ClaimForm,2025-06-25,/claim-docs/CLM006/claimform_0010.pdf
DOC0011,CLM006,RepairEstimate,2025-07-20,/claim-docs/CLM006/repairestimate_0011.pdf
DOC0012,CLM006,PoliceReport,2025-04-28,/claim-docs/CLM006/policereport_0012.pdf
DOC0013,CLM007,PoliceReport,2025-07-01,/claim-docs/CLM007/policereport_0013.pdf
DOC0014,CLM008,MedicalReport,2025-07-26,/claim-docs/CLM008/medicalreport_0014.pdf
DOC0015,CLM009,PoliceReport,2025-05-06,/claim-docs/CLM009/policereport_0015.pdf
DOC0016,CLM009,ClaimForm,2025-07-28,/claim-docs/CLM009/claimform_0016.pdf
DOC0017,CLM009,ClaimForm,2025-08-08,/claim-docs/CLM009/claimform_0017.pdf
DOC0018,CLM010,PhotoEvidence,2025-06-10,/claim-docs/CLM010/photoevidence_0018.pdf
DOC0019,CLM011,PoliceReport,2025-01-22,/claim-docs/CLM011/policereport_0019.pdf
DOC0020,CLM012,PhotoEvidence,2025-06-09,/claim-docs/CLM012/photoevidence_0020.pdf
DOC0021,CLM013,MedicalReport,2025-06-21,/claim-docs/CLM013/medicalreport_0021.pdf
DOC0022,CLM014,PhotoEvidence,2025-11-27,/claim-docs/CLM014/photoevidence_0022.pdf
DOC0023,CLM014,RepairEstimate,2025-06-01,/claim-docs/CLM014/repairestimate_0023.pdf
DOC0024,CLM014,ClaimForm,2025-05-06,/claim-docs/CLM014/claimform_0024.pdf
DOC0025,CLM015,MedicalReport,2025-01-04,/claim-docs/CLM015/medicalreport_0025.pdf
DOC0026,CLM015,RepairEstimate,2025-07-12,/claim-docs/CLM015/repairestimate_0026.pdf
DOC0027,CLM015,MedicalReport,2025-07-20,/claim-docs/CLM015/medicalreport_0027.pdf
