claimId,policyId,claimAmount,status,fraudScore,submissionDate,assignedAdjusterId
CLM001,POL032,17496,Approved,0.19,2025-12-06,ADJ001
CLM002,POL245,10781,Approved,0.15,2025-09-30,ADJ002
CLM003,POL176,22646,Rejected,0.22,2025-12-21,ADJ003
CLM004,POL136,6800,Approved,0.09,2025-06-02,ADJ004
CLM005,POL116,10252,UnderReview,0.5,2025-12-20,ADJ005
CLM006,POL251,11929,Rejected,0.31,2025-05-21,ADJ006
CLM007,POL148,49884,UnderReview,0.64,2025-03-16,ADJ007
CLM008,POL149,30180,UnderReview,0.67,2025-12-02,ADJ008
CLM009,POL132,7511,Approved,0.27,2025-05-19,ADJ009
CLM010,POL288,4998,Approved,0.2,2025-10-28,ADJ010
CLM011,POL123,22449,Rejected,0.07,2025-04-30,ADJ011
CLM012,POL027,46647,Rejected,0.26,2025-12-15,ADJ012
CLM013,POL071,35351,UnderReview,0.59,2025-09-01,ADJ013
CLM014,POL245,9912,UnderReview,0.36,2025-01-31,ADJ014
CLM015,POL046,8109,Rejected,0.24,2025-01-20,ADJ015
CLM016,POL090,6260,Approved,0.33,2025-07-23,ADJ016
CLM017,POL254,9985,Approved,0.01,2025-10-18,ADJ017
CLM018,POL055,11478,UnderReview,0.42,2025-11-25,ADJ018
CLM019,POL279,4897,Rejected,0.15,2025-04-09,ADJ019
CLM020,POL058,24457,UnderReview,0.48,2025-04-06,ADJ020
CLM021,POL008,10167,Rejected,0.22,2025-04-09,ADJ001
CLM022,POL090,21429,UnderReview,0.54,2025-09-21,ADJ002
CLM023,POL168,31252,Approved,0.42,2025-09-02,ADJ003
CLM024,POL166,723,UnderReview,0.4,2025-08-17,ADJ004
CLM025,POL137,10394,Rejected,0.24,2025-01-06,ADJ005
CLM026,POL134,23200,Approved,0.02,2025-03-02,ADJ006
CLM027,POL239,13784,Rejected,0.17,2025-12-27,ADJ007
CLM028,POL160,21429,UnderReview,0.39,2025-04-24,ADJ008
CLM029,POL113,16169,Approved,0.15,2025-11-07,ADJ009
CLM030,POL192,18497,UnderReview,0.52,2025-12-07,ADJ010
CLM031,POL112,22793,Rejected,0.29,2025-02-11,ADJ011
CLM032,POL270,23561,UnderReview,0.3,2025-10-16,ADJ012
CLM033,POL058,58128,Approved,0.29,2025-03-18,ADJ013
CLM034,POL085,17550,UnderReview,0.31,2025-04-16,ADJ014
CLM035,POL299,17223,UnderReview,0.54,2025-08-21,ADJ015
CLM036,POL068,15468,Rejected,0.02,2025-08-25,ADJ016
CLM037,POL158,13474,UnderReview,0.54,2025-04-22,ADJ017
CLM038,POL297,52768,UnderReview,0.6,2025-10-05,ADJ018
CLM039,POL031,2761,UnderReview,0.28,2025-07-29,ADJ019
CLM040,POL093,21521,Rejected,0.21,2025-08-04,ADJ020
CLM041,POL192,13033,UnderReview,0.56,2025-07-13,ADJ001
CLM042,POL193,33716,Rejected,0.38,2025-03-02,ADJ002
CLM043,POL092,13379,Rejected,0.04,2025-04-25,ADJ003
CLM044,POL002,10276,UnderReview,0.49,2025-10-06,ADJ004
CLM045,POL218,8025,Approved,0.15,2025-03-21,ADJ005
CLM046,POL142,24257,Approved,0.01,2025-12-05,ADJ006
CLM047,POL215,1012,Approved,0.07,2025-02-21,ADJ007
CLM048,POL018,22520,Rejected,0.29,2025-05-06,ADJ008
CLM049,POL023,8178,Rejected,0.07,2025-01-29,ADJ009
CLM050,POL072,9978,Approved,0.27,2025-10-22,ADJ010
CLM051,POL164,22537,UnderReview,0.35,2025-03-15,ADJ011
CLM052,POL267,10346,UnderReview,0.29,2025-10-30,ADJ012
CLM053,POL090,14498,Rejected,0.16,2025-06-26,ADJ013
CLM054,POL196,10944,Rejected,0.14,2025-03-18,ADJ014
CLM055,POL154,18126,UnderReview,0.35,2025-04-26,ADJ015
CLM056,POL154,5230,UnderReview,0.57,2025-10-15,ADJ016
CLM057,POL212,18761,Rejected,0.04,2025-05-05,ADJ017
CLM058,POL131,21691,Approved,0.3,2025-07-09,ADJ018
CLM059,POL048,6741,Approved,0.09,2025-12-11,ADJ019
CLM060,POL021,6665,Rejected,0.24,2025-10-14,ADJ020
CLM061,POL112,11410,UnderReview,0.59,2025-01-08,ADJ001
CLM062,POL109,24796,Approved,0.25,2025-09-03,ADJ002
CLM063,POL125,23561,Approved,0.13,2025-05-03,ADJ003
CLM064,POL283,9775,UnderReview,0.42,2025-11-29,ADJ004
CLM065,POL184,12284,Rejected,0.29,2025-08-27,ADJ005
CLM066,POL051,24172,UnderReview,0.52,2025-06-13,ADJ006
CLM067,POL105,14063,Approved,0.19,2025-04-24,ADJ007
CLM068,POL075,52367,UnderReview,0.42,2025-06-18,ADJ008
CLM069,POL118,8552,UnderReview,0.45,2025-12-17,ADJ009
CLM070,POL173,16511,Rejected,0.21,2025-09-09,ADJ010
CLM071,POL236,12040,Approved,0.05,2025-10-07,ADJ011
CLM072,POL251,18264,Rejected,0.32,2025-09-26,ADJ012
CLM073,POL018,2935,Rejected,0.02,2025-01-04,ADJ013
CLM074,POL212,40168,Approved,0.33,2025-01-05,ADJ014
CLM075,POL112,12729,Approved,0.2,2025-12-08,ADJ015
CLM076,POL248,1015,Approved,0.18,2025-07-30,ADJ016
CLM077,POL007,43006,Rejected,0.42,2025-01-09,ADJ017
CLM078,,23367,Rejected,0.14,2025-04-02,ADJ018
CLM079,POL055,17683,Approved,0.08,2025-11-14,ADJ019
CLM080,POL270,12114,UnderReview,0.53,2025-02-10,ADJ020
CLM081,POL192,15540,Rejected,0.08,2025-12-23,ADJ001
CLM082,POL116,3141,Rejected,0.33,2025-11-29,ADJ002
CLM083,POL017,49856,UnderReview,0.55,2025-01-29,ADJ003
CLM084,POL005,3209,UnderReview,0.55,2025-11-27,ADJ004
CLM085,POL170,3624,Rejected,0.3,2025-04-28,ADJ005
CLM086,POL109,23184,Rejected,0.16,2025-01-24,ADJ006
CLM087,POL039,9687,Rejected,0.19,2025-01-17,ADJ007
CLM088,POL092,10805,Approved,0.32,2025-10-28,ADJ008
CLM089,POL074,23854,UnderReview,0.58,2025-06-03,ADJ009
CLM090,POL084,19069,UnderReview,0.49,2025-10-04,ADJ010
CLM091,POL170,24739,Approved,0.26,2025-12-19,ADJ011
CLM092,POL041,11833,Approved,0.03,2025-04-29,ADJ012
CLM093,POL039,20615,Rejected,0.13,2025-06-17,ADJ013
CLM094,POL016,15263,UnderReview,0.35,2025-10-11,ADJ014
CLM095,POL193,22772,Rejected,0.22,2025-02-13,ADJ015
CLM096,POL152,23867,Approved,0.03,2025-03-20,ADJ016
CLM097,POL195,21271,Approved,0.24,2025-06-12,ADJ017
CLM098,POL185,25341,UnderReview,0.52,2025-05-19,ADJ018
CLM099,POL053,37281,UnderReview,0.52,2025-10-12,ADJ019
CLM100,POL263,1360,Approved,0.12,2025-02-17,ADJ020
CLM101,POL167,904,UnderReview,0.41,2025-02-13,ADJ001
CLM102,POL287,8454,Rejected,0.17,2025-12-17,ADJ002
CLM103,POL195,9311,UnderReview,0.36,2025-03-16,ADJ003
CLM104,POL033,9542,UnderReview,0.37,2025-02-09,ADJ004
CLM105,,8580,Rejected,0.21,2025-11-01,ADJ005
CLM106,POL101,4939,UnderReview,0.27,2025-07-22,ADJ006
CLM107,POL171,12948,UnderReview,0.42,2025-08-09,ADJ007
CLM108,POL070,20266,Rejected,0.07,2025-06-10,ADJ008
CLM109,POL091,10957,UnderReview,0.51,2025-11-21,ADJ009
CLM110,POL252,8443,UnderReview,0.39,2025-07-21,ADJ010
CLM111,POL187,38095,Rejected,0.43,2025-04-03,ADJ011
CLM112,POL282,55253,Rejected,0.17,2025-05-30,ADJ012
CLM113,POL036,13906,Rejected,0.16,2025-11-21,ADJ013
CLM114,POL156,22083,Approved,0.24,2025-07-13,ADJ014
CLM115,POL038,20093,UnderReview,0.46,2025-10-01,ADJ015
CLM116,POL260,23165,UnderReview,0.45,2025-07-04,ADJ016
CLM117,POL275,3284,Approved,0.25,2025-12-03,ADJ017
CLM118,POL182,20576,Approved,0.19,2025-11-27,ADJ018
CLM119,POL205,11365,UnderReview,0.3,2025-02-20,ADJ019
CLM120,POL133,24972,Rejected,0.18,2025-12-19,ADJ020
