investigationId,claimId,adjusterId,openedDate,status,riskLevel
INV001,CLM048,ADJ017,2025-08-03,Open,Low
INV002,CLM197,ADJ005,2025-11-06,Closed,Medium
INV003,CLM050,ADJ020,2025-02-13,InProgress,High
INV004,CLM186,ADJ015,2025-09-09,Closed,Low
INV005,CLM179,ADJ004,2025-11-18,InProgress,High
INV006,CLM138,ADJ011,2025-02-10,InProgress,Low
INV007,CLM023,ADJ015,2025-01-24,Closed,Medium
INV008,CLM240,ADJ017,2025-03-17,Open,High
INV009,CLM281,ADJ010,2025-11-17,Closed,Low
INV010,CLM064,ADJ005,2025-06-25,Open,High
INV011,CLM196,ADJ017,2025-01-20,InProgress,Medium
INV012,CLM041,ADJ001,2025-02-12,InProgress,Low
INV013,CLM289,ADJ002,2025-04-19,Open,Low
INV014,CLM153,ADJ016,2025-02-25,Closed,Low
INV015,CLM188,ADJ005,2025-11-16,Closed,Low
INV016,CLM100,ADJ009,2025-09-28,Closed,Medium
INV017,CLM036,ADJ007,2025-09-25,Closed,High
INV018,CLM024,ADJ007,2025-12-10,InProgress,High
INV019,CLM119,ADJ012,2025-08-17,InProgress,Low
INV020,CLM151,ADJ008,2025-04-03,InProgress,Low
INV021,CLM122,ADJ019,2025-09-08,Closed,Low
INV022,CLM052,ADJ001,2025-02-23,Closed,Low
INV023,CLM145,ADJ008,2025-02-02,InProgress,Low
INV024,CLM237,ADJ017,2025-04-09,Closed,Medium
INV025,CLM189,ADJ007,2025-09-05,Closed,High
INV026,CLM085,ADJ019,2025-08-08,InProgress,Medium
INV027,CLM192,ADJ007,2025-02-04,Closed,Medium
INV028,CLM184,ADJ012,2025-07-14,InProgress,High
INV029,CLM110,ADJ002,2025-11-21,Closed,Low
INV030,CLM139,ADJ002,2025-07-24,InProgress,Low
INV031,CLM037,ADJ008,2025-04-07,Closed,Medium
INV032,CLM089,ADJ005,2025-07-06,InProgress,Medium
INV033,CLM280,ADJ008,2025-02-15,Closed,Low
INV034,CLM128,ADJ002,2025-11-18,Open,Low
INV035,CLM241,ADJ008,2025-03-14,InProgress,Medium
INV036,CLM141,ADJ007,2025-07-02,Open,Medium
INV037,CLM292,ADJ001,2025-07-09,InProgress,Medium
INV038,CLM115,ADJ014,2025-12-24,Closed,High
INV039,CLM169,ADJ016,2025-03-07,InProgress,Low
INV040,CLM029,ADJ002,2025-10-24,Closed,Low
INV041,CLM120,ADJ011,2025-01-02,Closed,Medium
INV042,CLM017,ADJ017,2025-09-06,Open,High
INV043,CLM164,ADJ003,2025-03-03,Closed,Low
INV044,CLM208,ADJ008,2025-07-04,Closed,Low
INV045,CLM140,ADJ019,2025-10-02,Closed,Low
INV046,CLM034,ADJ014,2025-11-19,Closed,High
INV047,CLM111,ADJ011,2025-05-07,Closed,High
INV048,CLM297,ADJ011,2025-04-09,InProgress,Low
INV049,CLM262,ADJ010,2025-08-11,Open,Low
INV050,CLM205,ADJ015,2025-10-19,Open,Low
INV051,CLM239,ADJ018,2025-04-17,InProgress,Low
INV052,CLM074,ADJ012,2025-02-08,InProgress,Medium
INV053,CLM072,ADJ006,2025-08-27,Closed,High
INV054,CLM129,ADJ010,2025-10-26,Closed,High
INV055,CLM294,ADJ001,2025-11-27,Closed,Medium
INV056,CLM282,ADJ004,2025-03-09,Open,Low
INV057,CLM137,ADJ018,2025-03-09,InProgress,High
INV058,CLM224,ADJ007,2025-12-11,Open,High
INV059,CLM207,ADJ009,2025-09-16,InProgress,Low
INV060,CLM071,ADJ003,2025-11-14,InProgress,Low
