paymentId,claimId,amount,paymentDate,paymentStatus
PAY001,CLM192,4368,2025-09-24,Pending
PAY002,CLM164,8704,2025-01-04,Pending
PAY003,CLM263,10245,2025-07-11,Pending
PAY004,CLM259,12803,2025-05-25,Completed
PAY005,CLM269,4002,2025-05-22,Completed
PAY006,CLM126,21732,2025-12-31,Completed
PAY007,CLM079,15195,2025-01-30,Pending
PAY008,CLM166,23558,2025-12-15,Completed
PAY009,CLM281,2642,2025-06-01,Completed
PAY010,CLM173,3340,2025-01-19,Pending
PAY011,CLM277,21052,2025-04-08,Completed
PAY012,CLM281,3783,2025-12-18,Pending
PAY013,CLM257,23016,2025-12-10,Completed
PAY014,CLM211,17061,2025-03-29,Pending
PAY015,CLM076,1015,2025-08-30,Completed
PAY016,CLM287,7969,2025-10-14,Completed
PAY017,CLM269,9131,2025-12-02,Completed
PAY018,CLM096,23867,2025-06-07,Completed
PAY019,CLM299,777,2025-07-10,Completed
PAY020,CLM227,7535,2025-03-02,Completed
PAY021,CLM017,9985,2025-10-26,Pending
PAY022,CLM243,10366,2025-09-14,Completed
PAY023,CLM269,9131,2025-06-02,Completed
PAY024,CLM017,9985,2025-03-19,Completed
PAY025,CLM088,10805,2025-10-19,Completed
PAY026,CLM063,23561,2025-04-03,Completed
PAY027,CLM205,8532,2025-04-01,Completed
PAY028,CLM257,15449,2025-04-18,Completed
PAY029,CLM225,55212,2025-09-08,Completed
PAY030,CLM059,6741,2025-11-21,Completed
PAY031,CLM166,23558,2025-09-02,Completed
PAY032,CLM001,9092,2025-07-11,Completed
PAY033,CLM137,14362,2025-09-29,Completed
PAY034,CLM004,6800,2025-11-17,Completed
PAY035,CLM096,23867,2025-06-26,Completed
PAY036,CLM059,4732,2025-06-06,Completed
PAY037,CLM026,23200,2025-06-02,Completed
PAY038,CLM190,23486,2025-11-02,Pending
PAY039,CLM144,19266,2025-12-18,Completed
PAY040,CLM144,19266,2025-09-08,Completed
PAY041,CLM292,8405,2025-07-26,Completed
PAY042,CLM097,21271,2025-03-09,Completed
PAY043,CLM283,11244,2025-03-05,Completed
PAY044,CLM278,2695,2025-01-20,Completed
PAY045,CLM257,23016,2025-10-01,Pending
PAY046,CLM017,9985,2025-01-25,Completed
PAY047,CLM261,14727,2025-01-25,Completed
PAY048,CLM173,3340,2025-03-05,Pending
PAY049,CLM117,3284,2025-03-20,Completed
PAY050,CLM275,54429,2025-01-05,Completed
PAY051,CLM173,3340,2025-12-06,Pending
PAY052,CLM125,10339,2025-12-25,Completed
PAY053,CLM173,3340,2025-02-23,Pending
PAY054,CLM281,3783,2025-05-25,Completed
PAY055,CLM299,403,2025-04-13,Completed
PAY056,CLM215,31925,2025-07-03,Completed
PAY057,CLM130,17196,2025-04-17,Completed
PAY058,CLM139,12264,2025-01-07,Completed
PAY059,CLM050,9978,2025-12-09,Completed
PAY060,CLM067,14063,2025-09-19,Completed
PAY061,CLM281,3783,2025-05-12,Completed
PAY062,CLM190,23486,2025-06-01,Completed
PAY063,CLM192,3878,2025-01-21,Completed
PAY064,CLM153,4848,2025-06-10,Completed
PAY065,CLM287,7258,2025-01-24,Completed
PAY066,CLM062,24796,2025-03-29,Completed
PAY067,CLM152,51975,2025-11-15,Completed
PAY068,CLM283,14224,2025-04-04,Completed
PAY069,CLM166,23558,2025-08-22,Completed
PAY070,CLM161,2086,2025-09-02,Completed
PAY071,CLM261,14727,2025-03-27,Completed
PAY072,CLM059,6741,2025-01-31,Completed
PAY073,CLM047,1012,2025-10-30,Completed
PAY074,CLM224,15030,2025-04-03,Pending
PAY075,CLM160,19437,2025-11-10,Completed
PAY076,CLM269,9131,2025-03-08,Completed
PAY077,CLM205,5518,2025-01-24,Completed
PAY078,CLM118,20576,2025-01-07,Pending
PAY079,CLM297,21713,2025-10-17,Completed
PAY080,CLM264,16587,2025-09-23,Pending
PAY081,CLM275,54429,2025-02-18,Completed
PAY082,CLM263,10245,2025-09-04,Completed
PAY083,CLM263,10245,2025-07-17,Completed
PAY084,CLM223,8981,2025-11-10,Completed
PAY085,CLM002,10781,2025-03-22,Pending
PAY086,CLM195,8859,2025-03-26,Completed
