policyId,policyholderId,policyLimit,coverageType,startDate,endDate
POL001,PH241,25000,Auto,2024-10-25,2025-10-25
POL002,PH148,60000,Home,2025-12-24,2026-12-24
POL003,PH037,50000,Home,2025-12-04,2026-12-04
POL004,PH102,30000,Auto,2025-03-11,2026-03-11
POL005,PH077,40000,Auto,2024-09-29,2025-09-29
POL006,PH031,60000,Home,2024-06-18,2025-06-18
POL007,PH225,150000,Home,2024-05-07,2025-05-07
POL008,PH207,150000,Home,2024-10-05,2025-10-05
POL009,PH042,25000,Home,2025-09-04,2026-09-04
POL010,PH166,60000,Auto,2025-09-10,2026-09-10
POL011,PH047,25000,Home,2024-08-22,2025-08-22
POL012,PH296,40000,Home,2024-02-11,2025-02-10
POL013,PH266,150000,Home,2025-10-29,2026-10-29
POL014,PH093,100000,Home,2025-08-22,2026-08-22
POL015,PH047,75000,Home,2025-04-26,2026-04-26
POL016,PH171,30000,Auto,2024-11-24,2025-11-24
POL017,PH169,150000,Home,2025-02-25,2026-02-25
POL018,PH206,25000,Home,2025-07-17,2026-07-17
POL019,PH046,60000,Home,2024-11-18,2025-11-18
POL020,PH060,25000,Home,2025-02-17,2026-02-17
POL021,PH212,50000,Home,2024-02-25,2025-02-24
POL022,PH256,150000,Auto,2025-10-02,2026-10-02
POL023,PH105,40000,Home,2024-09-30,2025-09-30
POL024,PH225,150000,Auto,2025-12-16,2026-12-16
POL025,PH015,50000,Auto,2025-10-07,2026-10-07
POL026,PH160,25000,Home,2025-07-18,2026-07-18
POL027,PH048,30000,Home,2024-08-18,2025-08-18
POL028,PH061,40000,Home,2025-10-25,2026-10-25
POL029,PH150,60000,Home,2025-06-05,2026-06-05
POL030,PH248,50000,Home,2025-04-28,2026-04-28
POL031,PH283,100000,Auto,2024-05-28,2025-05-28
POL032,PH261,30000,Home,2024-05-19,2025-05-19
POL033,PH213,60000,Auto,2024-12-14,2025-12-14
POL034,PH145,150000,Auto,2024-11-01,2025-11-01
POL035,PH229,150000,Home,2025-07-05,2026-07-05
POL036,PH171,100000,Home,2025-07-19,2026-07-19
POL037,PH165,50000,Home,2024-07-12,2025-07-12
