applicationId,applicantId,requestedCoverage,submissionDate,status
IA001,APP152,Auto,2025-03-10,Decided
IA002,APP033,Umbrella,2025-01-30,Submitted
IA003,APP144,Umbrella,2025-12-12,InReview
IA004,APP204,Umbrella,2025-08-04,Submitted
IA005,APP146,Auto,2025-08-17,InReview
IA006,APP071,Auto,2025-10-20,Submitted
IA007,APP096,Home,2025-02-22,InReview
IA008,APP298,Auto,2025-09-11,Submitted
IA009,APP229,Home,2025-09-03,Decided
IA010,APP223,Auto,2025-01-13,Submitted
IA011,APP258,Life,2025-09-01,Decided
IA012,APP053,Umbrella,2025-07-13,Submitted
IA013,APP089,Life,2025-03-07,InReview
IA014,APP294,Life,2025-06-01,InReview
IA015,,Home,2025-10-09,Submitted
IA016,APP210,Home,2025-03-21,InReview
IA017,APP300,Auto,2025-09-23,Decided
IA018,APP127,Auto,2025-12-13,Decided
IA019,APP068,Home,2025-06-11,InReview
IA020,APP282,Auto,2025-10-16,Submitted
IA021,APP175,Life,2025-07-15,InReview
IA022,APP081,Umbrella,2025-10-06,InReview
IA023,APP282,Umbrella,2025-09-18,InReview
IA024,,Auto,2025-04-23,Decided
IA025,APP248,Life,2025-09-12,Submitted
IA026,APP250,Umbrella,2025-06-03,InReview
IA027,APP085,Home,2025-12-29,Decided
IA028,APP164,Life,2025-06-04,Submitted
IA029,APP253,Auto,2025-12-03,InReview
IA030,APP217,Life,2025-09-22,Decided
IA031,APP187,Life,2025-05-20,InReview
IA032,APP269,Life,2025-09-05,InReview
IA033,APP194,Auto,2025-11-11,InReview
IA034,APP095,Umbrella,2025-12-13,InReview
IA035,APP011,Auto,2025-06-09,Decided
IA036,APP027,Auto,2025-11-27,InReview
IA037,APP011,Auto,2025-11-25,Submitted
IA038,APP105,Auto,2025-12-28,Submitted
IA039,APP036,Umbrella,2025-02-12,Submitted
IA040,APP059,Life,2025-08-25,Submitted
IA041,APP224,Home,2025-01-16,Submitted
IA042,APP080,Life,2025-01-20,Decided
IA043,APP094,Umbrella,2025-10-28,Decided
IA044,,Home,2025-03-26,Submitted
IA045,APP011,Life,2025-07-19,Submitted
IA046,APP085,Life,2025-06-07,Submitted
IA047,APP268,Home,2025-06-21,Decided
IA048,APP039,Umbrella,2025-09-03,InReview
IA049,APP026,Home,2025-02-21,Decided
IA050,APP203,Auto,2025-08-20,InReview
IA051,APP196,Umbrella,2025-12-10,Decided
IA052,APP183,Life,2025-01-12,Decided
IA053,APP202,Auto,2025-04-12,Submitted
IA054,APP121,Home,2025-12-20,Decided
IA055,APP276,Home,2025-03-05,Decided
IA056,APP155,Auto,2025-02-24,Submitted
IA057,APP053,Auto,2025-06-18,Decided
IA058,APP213,Umbrella,2025-12-02,Decided
IA059,APP158,Home,2025-04-10,InReview
IA060,APP289,Auto,2025-05-15,Decided
IA061,APP165,Auto,2025-04-18,InReview
IA062,APP140,Auto,2025-01-10,InReview
IA063,APP021,Life,2025-08-19,Submitted
IA064,APP087,Life,2025-01-06,InReview
IA065,APP099,Life,2025-02-20,Decided
IA066,APP104,Auto,2025-02-24,Decided
IA067,APP240,Home,2025-10-09,InReview
IA068,APP119,Life,2025-06-18,Decided
IA069,APP242,Life,2025-10-16,Decided
IA070,APP235,Auto,2025-02-01,InReview
IA071,APP218,Umbrella,2025-12-09,Submitted
IA072,APP237,Auto,2025-05-16,Submitted
IA073,APP015,Auto,2025-09-16,Submitted
IA074,APP151,Auto,2025-08-10,Decided
IA075,APP203,Umbrella,2025-11-16,Decided
IA076,APP051,Life,2025-09-25,InReview
IA077,APP053,Umbrella,2025-05-02,Submitted
IA078,APP164,Auto,2025-10-17,Decided
IA079,APP016,Life,2025-08-16,Submitted
IA080,APP197,Home,2025-02-20,Decided
IA081,APP007,Auto,2025-07-27,Decided
IA082,APP195,Auto,2025-02-12,Submitted
IA083,APP168,Umbrella,2025-09-19,Submitted
IA084,APP289,Life,2025-04-03,Submitted
IA085,APP061,Umbrella,2025-05-23,Decided
IA086,APP270,Umbrella,2025-03-01,Decided
IA087,APP107,Umbrella,2025-02-17,InReview
IA088,APP018,Auto,2025-08-13,InReview
IA089,APP254,Home,2025-08-23,Decided
IA090,APP235,Umbrella,2025-12-09,InReview
IA091,APP261,Home,2025-01-06,Decided
IA092,APP055,Auto,2025-05-20,InReview
IA093,APP085,Umbrella,2025-05-15,Submitted
IA094,APP092,Auto,2025-02-17,Decided
IA095,APP081,Life,2025-12-01,Decided
IA096,APP266,Life,2025-01-18,Submitted
IA097,APP124,Umbrella,2025-03-05,Submitted
IA098,APP251,Umbrella,2025-11-10,Submitted
IA099,APP120,Umbrella,2025-04-21,Submitted
IA100,APP180,Life,2025-07-16,InReview
IA101,APP224,Auto,2025-03-07,Decided
IA102,APP171,Life,2025-12-10,Submitted
IA103,APP232,Home,2025-07-04,InReview
IA104,APP115,Umbrella,2025-09-23,Decided
IA105,APP156,Umbrella,2025-12-22,Decided
IA106,APP258,Auto,2025-06-25,Submitted
IA107,APP196,Life,2025-01-05,Submitted
IA108,APP239,Life,2025-04-27,Submitted
