ratingFactorId,riskAssessmentId,factorType,factorValue,weight
RF001,RA127,CreditSignal,3.43,0.31
RF002,RA180,PropertyAge,1.91,0.36
RF003,RA094,CreditSignal,2.69,0.22
RF004,RA187,DrivingRecord,2.88,0.26
RF005,RA282,CreditSignal,1.46,0.14
RF006,RA274,DrivingRecord,1.23,0.39
RF007,RA188,PropertyAge,1.74,0.21
RF008,RA005,CreditSignal,1.72,0.2
RF009,RA086,GeographicRisk,3.12,0.15
RF010,RA168,GeographicRisk,3.17,0.24
RF011,RA027,GeographicRisk,1.61,0.1
RF012,RA071,DrivingRecord,3.07,0.38
RF013,RA119,PriorClaimsHistory,2.67,0.21
RF014,RA210,PropertyAge,3.3,0.06
RF015,RA202,GeographicRisk,2.62,0.17
RF016,RA257,GeographicRisk,2.15,0.33
RF017,RA047,DrivingRecord,2.9,0.15
RF018,RA063,OccupationRisk,0.79,0.16
RF019,RA180,DrivingRecord,1.16,0.3
RF020,RA106,CreditSignal,1.7,0.12
RF021,RA215,CreditSignal,1.06,0.13
RF022,RA292,PriorClaimsHistory,3.26,0.14
RF023,RA201,DrivingRecord,1.56,0.1
RF024,RA276,OccupationRisk,2.44,0.1
RF025,RA157,DrivingRecord,2.98,0.37
RF026,RA247,OccupationRisk,0.62,0.14
RF027,RA297,CreditSignal,0.72,0.21
RF028,RA087,DrivingRecord,3.36,0.12
RF029,RA039,PriorClaimsHistory,2.78,0.17
RF030,RA268,OccupationRisk,3.03,0.18
RF031,RA279,PriorClaimsHistory,1.65,0.05
RF032,RA058,OccupationRisk,1.55,0.28
RF033,RA220,PriorClaimsHistory,0.62,0.2
RF034,RA118,PriorClaimsHistory,0.8,0.31
RF035,RA264,PropertyAge,2.3,0.2
RF036,RA047,CreditSignal,2.07,0.12
RF037,RA150,PropertyAge,1.37,0.22
RF038,RA239,GeographicRisk,1.98,0.38
RF039,RA031,GeographicRisk,2.02,0.31
RF040,RA070,DrivingRecord,1.41,0.29
RF041,RA010,PriorClaimsHistory,2.0,0.14
RF042,RA094,DrivingRecord,2.79,0.39
RF043,RA281,OccupationRisk,2.83,0.09
RF044,RA164,PropertyAge,3.14,0.29
RF045,RA200,OccupationRisk,2.86,0.22
RF046,RA164,DrivingRecord,3.17,0.12
RF047,RA131,PriorClaimsHistory,3.32,0.37
RF048,RA137,OccupationRisk,3.31,0.23
RF049,RA207,CreditSignal,3.37,0.16
RF050,RA094,GeographicRisk,3.28,0.16
RF051,RA025,PropertyAge,1.97,0.19
RF052,RA024,GeographicRisk,3.22,0.29
RF053,RA253,CreditSignal,2.61,0.17
RF054,RA295,OccupationRisk,1.72,0.1
RF055,RA001,OccupationRisk,2.53,0.07
RF056,RA188,GeographicRisk,1.85,0.23
RF057,RA264,OccupationRisk,1.3,0.22
RF058,RA041,GeographicRisk,3.41,0.34
RF059,RA028,CreditSignal,2.79,0.11
RF060,RA201,DrivingRecord,3.4,0.18
RF061,RA086,CreditSignal,1.84,0.16
RF062,RA209,DrivingRecord,2.7,0.36
RF063,RA164,CreditSignal,1.92,0.17
RF064,RA243,PriorClaimsHistory,2.0,0.37
RF065,RA169,CreditSignal,1.46,0.17
RF066,RA050,GeographicRisk,0.98,0.26
RF067,RA283,OccupationRisk,3.09,0.22
RF068,RA170,PropertyAge,2.45,0.26
RF069,RA211,PriorClaimsHistory,0.76,0.26
RF070,RA123,DrivingRecord,2.66,0.38
RF071,RA293,DrivingRecord,1.61,0.15
RF072,RA157,OccupationRisk,0.71,0.4
RF073,RA085,PriorClaimsHistory,3.45,0.28
RF074,RA022,PriorClaimsHistory,1.29,0.24
RF075,RA106,OccupationRisk,1.3,0.29
RF076,RA290,PropertyAge,2.77,0.31
RF077,RA043,GeographicRisk,2.79,0.07
RF078,RA161,PriorClaimsHistory,2.9,0.34
RF079,RA162,PriorClaimsHistory,3.17,0.33
RF080,RA210,DrivingRecord,2.35,0.05
RF081,RA218,OccupationRisk,2.59,0.25
RF082,RA159,CreditSignal,1.34,0.15
RF083,RA154,DrivingRecord,2.89,0.35
RF084,RA242,DrivingRecord,0.61,0.11
RF085,RA240,CreditSignal,1.41,0.07
RF086,RA173,PriorClaimsHistory,1.1,0.16
RF087,RA018,OccupationRisk,3.47,0.3
RF088,RA010,OccupationRisk,1.38,0.12
RF089,RA093,DrivingRecord,0.64,0.3
RF090,RA012,OccupationRisk,1.63,0.25
RF091,RA178,PropertyAge,2.42,0.34
RF092,RA012,CreditSignal,2.93,0.31
RF093,RA259,PriorClaimsHistory,3.1,0.19
RF094,RA008,PriorClaimsHistory,0.99,0.31
RF095,RA265,PropertyAge,3.19,0.16
RF096,RA246,OccupationRisk,2.63,0.28
RF097,RA003,PropertyAge,2.83,0.21
RF098,RA295,GeographicRisk,3.43,0.38
RF099,RA187,PriorClaimsHistory,0.91,0.3
RF100,RA108,PropertyAge,2.45,0.09
RF101,RA004,PropertyAge,3.43,0.33
RF102,RA214,GeographicRisk,1.35,0.1
RF103,RA023,PriorClaimsHistory,2.34,0.32
RF104,RA019,PropertyAge,2.76,0.26
RF105,RA017,GeographicRisk,3.24,0.2
RF106,RA039,DrivingRecord,1.68,0.34
RF107,RA253,GeographicRisk,2.53,0.09
RF108,RA034,CreditSignal,1.68,0.12
RF109,RA013,CreditSignal,1.54,0.26
RF110,RA099,PropertyAge,2.88,0.34
RF111,RA124,PriorClaimsHistory,1.47,0.18
RF112,RA241,GeographicRisk,3.29,0.26
RF113,RA071,PropertyAge,0.57,0.36
RF114,RA246,CreditSignal,2.82,0.12
RF115,RA026,CreditSignal,2.22,0.11
RF116,RA262,GeographicRisk,0.85,0.25
RF117,RA291,CreditSignal,1.41,0.16
RF118,RA043,GeographicRisk,0.76,0.18
RF119,RA017,DrivingRecord,0.62,0.18
RF120,RA296,GeographicRisk,1.1,0.14
RF121,RA244,CreditSignal,3.29,0.27
RF122,RA278,PriorClaimsHistory,3.15,0.06
RF123,RA255,GeographicRisk,2.76,0.28
RF124,RA074,PropertyAge,2.14,0.2
RF125,RA153,CreditSignal,2.88,0.26
RF126,RA056,GeographicRisk,2.36,0.17
RF127,RA149,GeographicRisk,1.08,0.27
RF128,RA245,CreditSignal,1.35,0.26
RF129,RA033,GeographicRisk,2.73,0.35
RF130,RA222,CreditSignal,2.8,0.09
RF131,RA255,CreditSignal,3.4,0.07
RF132,RA274,GeographicRisk,0.87,0.26
RF133,RA021,PriorClaimsHistory,1.87,0.14
RF134,RA247,DrivingRecord,2.08,0.24
RF135,RA278,DrivingRecord,2.96,0.1
RF136,RA070,OccupationRisk,3.0,0.28
RF137,RA022,OccupationRisk,0.8,0.31
RF138,RA288,CreditSignal,2.03,0.24
RF139,RA092,GeographicRisk,3.05,0.1
RF140,RA134,DrivingRecord,3.12,0.17
RF141,RA235,PropertyAge,2.85,0.1
RF142,RA218,PriorClaimsHistory,3.05,0.14
RF143,RA098,GeographicRisk,0.91,0.21
RF144,RA148,PropertyAge,2.29,0.15
RF145,RA019,OccupationRisk,3.16,0.38
RF146,RA267,PropertyAge,2.81,0.19
RF147,RA134,PriorClaimsHistory,1.8,0.12
RF148,RA192,OccupationRisk,1.59,0.37
RF149,RA017,OccupationRisk,2.89,0.21
RF150,RA063,CreditSignal,2.0,0.34
RF151,RA156,OccupationRisk,3.06,0.3
RF152,RA225,PropertyAge,1.3,0.16
RF153,RA204,PropertyAge,2.03,0.06
RF154,RA020,DrivingRecord,2.67,0.28
RF155,RA116,DrivingRecord,2.63,0.13
RF156,RA077,GeographicRisk,0.85,0.21
RF157,RA167,PropertyAge,1.55,0.09
RF158,RA020,DrivingRecord,1.5,0.34
RF159,RA272,OccupationRisk,2.5,0.26
RF160,RA200,OccupationRisk,2.69,0.28
RF161,RA114,OccupationRisk,0.95,0.13
RF162,RA146,OccupationRisk,1.72,0.17
RF163,RA225,CreditSignal,0.62,0.22
RF164,RA259,PriorClaimsHistory,1.06,0.13
RF165,RA068,PriorClaimsHistory,2.03,0.35
RF166,RA192,PriorClaimsHistory,0.55,0.08
RF167,RA215,GeographicRisk,2.42,0.29
RF168,RA231,GeographicRisk,0.76,0.22
RF169,RA174,DrivingRecord,1.0,0.22
RF170,RA172,CreditSignal,2.77,0.21
RF171,RA157,DrivingRecord,1.29,0.34
RF172,RA035,PropertyAge,0.74,0.26
RF173,RA247,OccupationRisk,3.38,0.17
RF174,RA031,OccupationRisk,0.7,0.13
RF175,RA078,OccupationRisk,0.53,0.37
RF176,RA295,GeographicRisk,1.33,0.13
RF177,RA184,CreditSignal,2.31,0.35
RF178,RA092,CreditSignal,1.32,0.2
RF179,RA288,GeographicRisk,2.94,0.14
RF180,RA098,GeographicRisk,3.0,0.2
RF181,RA192,OccupationRisk,1.82,0.31
RF182,RA251,OccupationRisk,1.46,0.31
RF183,RA188,CreditSignal,1.9,0.33
RF184,RA116,CreditSignal,2.71,0.05
RF185,RA278,PropertyAge,2.74,0.37
RF186,RA101,CreditSignal,2.23,0.17
RF187,RA292,PropertyAge,2.05,0.12
RF188,RA289,PriorClaimsHistory,1.71,0.26
RF189,RA012,PriorClaimsHistory,1.96,0.38
RF190,RA107,CreditSignal,1.79,0.39
RF191,RA170,PropertyAge,1.86,0.38
RF192,RA095,OccupationRisk,2.17,0.09
RF193,RA016,DrivingRecord,2.44,0.26
RF194,RA142,OccupationRisk,2.94,0.28
RF195,RA114,GeographicRisk,1.08,0.12
RF196,RA212,GeographicRisk,0.71,0.21
RF197,RA095,PropertyAge,0.73,0.35
RF198,RA270,PriorClaimsHistory,2.27,0.31
RF199,RA283,PropertyAge,1.26,0.24
RF200,RA043,OccupationRisk,1.57,0.33
RF201,RA273,PriorClaimsHistory,1.76,0.35
RF202,RA155,PropertyAge,1.18,0.11
RF203,RA295,OccupationRisk,1.56,0.36
RF204,RA080,CreditSignal,0.9,0.15
RF205,RA134,CreditSignal,1.45,0.12
RF206,RA240,OccupationRisk,3.49,0.38
RF207,RA278,CreditSignal,0.63,0.25
RF208,RA096,PriorClaimsHistory,1.61,0.14
RF209,RA009,CreditSignal,1.63,0.13
RF210,RA063,OccupationRisk,1.5,0.39
RF211,RA072,OccupationRisk,1.39,0.28
RF212,RA073,PriorClaimsHistory,1.17,0.06
RF213,RA165,CreditSignal,2.42,0.16
RF214,RA059,DrivingRecord,2.06,0.36
