referralId,applicationId,underwriterId,reason,status,referralDate
REF001,IA211,UW006,IncompleteDocumentation,Resolved,2025-06-05
REF002,IA101,UW008,ManualReviewRequired,Resolved,2025-03-28
REF003,IA055,UW020,ManualReviewRequired,InProgress,2025-08-08
REF004,IA140,UW005,ManualReviewRequired,InProgress,2025-09-07
REF005,IA072,UW013,IncompleteDocumentation,Resolved,2025-01-26
REF006,IA051,UW009,PriorClaimsHistory,Resolved,2025-10-10
REF007,IA234,UW016,HighRiskScore,Resolved,2025-10-25
REF008,IA289,UW013,PriorClaimsHistory,InProgress,2025-02-17
REF009,IA202,UW013,HighRiskScore,Resolved,2025-02-18
REF010,IA231,UW020,ManualReviewRequired,Resolved,2025-11-13
REF011,IA021,UW014,ManualReviewRequired,Resolved,2025-03-22
REF012,IA287,UW001,PriorClaimsHistory,Resolved,2025-09-21
REF013,IA156,UW019,PriorClaimsHistory,Open,2025-08-17
REF014,IA131,UW004,PriorClaimsHistory,Open,2025-08-01
REF015,IA028,UW002,IncompleteDocumentation,InProgress,2025-06-03
REF016,IA188,UW018,ManualReviewRequired,InProgress,2025-12-01
REF017,IA012,UW011,IncompleteDocumentation,InProgress,2025-11-05
REF018,IA016,UW007,UnusualCoverageRequest,Open,2025-04-16
REF019,IA019,UW012,IncompleteDocumentation,InProgress,2025-08-04
REF020,IA205,UW006,HighRiskScore,Resolved,2025-03-23
REF021,IA079,UW020,PriorClaimsHistory,Open,2025-07-29
REF022,IA163,UW012,IncompleteDocumentation,InProgress,2025-02-19
REF023,IA249,UW004,UnusualCoverageRequest,Resolved,2025-06-20
REF024,IA158,UW010,IncompleteDocumentation,Resolved,2025-04-16
REF025,IA248,UW006,UnusualCoverageRequest,Resolved,2025-10-22
REF026,IA226,UW008,ManualReviewRequired,InProgress,2025-01-19
REF027,IA286,UW011,ManualReviewRequired,Open,2025-12-27
REF028,IA063,UW001,IncompleteDocumentation,Resolved,2025-08-03
REF029,IA270,UW001,UnusualCoverageRequest,InProgress,2025-02-03
REF030,IA247,UW014,ManualReviewRequired,InProgress,2025-10-11
REF031,IA029,UW002,HighRiskScore,InProgress,2025-10-04
REF032,IA222,UW009,ManualReviewRequired,Resolved,2025-03-22
REF033,IA064,UW020,PriorClaimsHistory,InProgress,2025-06-25
REF034,IA075,UW002,ManualReviewRequired,Resolved,2025-06-05
REF035,IA143,UW018,UnusualCoverageRequest,Resolved,2025-04-21
REF036,IA091,UW016,UnusualCoverageRequest,Open,2025-09-21
REF037,IA190,UW018,HighRiskScore,Open,2025-03-02
REF038,IA241,UW003,HighRiskScore,Resolved,2025-01-05
REF039,IA203,UW019,PriorClaimsHistory,InProgress,2025-04-13
REF040,IA168,UW009,IncompleteDocumentation,InProgress,2025-02-08
REF041,IA184,UW004,IncompleteDocumentation,Resolved,2025-04-27
REF042,IA095,UW008,PriorClaimsHistory,Resolved,2025-04-07
REF043,IA219,UW018,PriorClaimsHistory,Open,2025-01-16
REF044,IA009,UW012,HighRiskScore,Open,2025-04-09
REF045,IA180,UW013,ManualReviewRequired,Open,2025-04-29
REF046,IA098,UW009,HighRiskScore,Resolved,2025-01-25
REF047,IA227,UW003,UnusualCoverageRequest,Resolved,2025-02-22
REF048,IA062,UW017,PriorClaimsHistory,InProgress,2025-07-12
REF049,IA297,UW005,ManualReviewRequired,Open,2025-09-05
REF050,IA154,UW018,ManualReviewRequired,InProgress,2025-01-31
REF051,IA255,UW016,UnusualCoverageRequest,InProgress,2025-02-02
REF052,IA124,UW001,IncompleteDocumentation,Open,2025-09-14
REF053,IA033,UW012,PriorClaimsHistory,Resolved,2025-02-25
REF054,IA114,UW010,ManualReviewRequired,Open,2025-09-06
REF055,IA183,UW013,HighRiskScore,InProgress,2025-12-17
REF056,IA212,UW001,HighRiskScore,Open,2025-12-12
REF057,IA118,UW001,IncompleteDocumentation,Open,2025-08-07
REF058,IA213,UW009,UnusualCoverageRequest,InProgress,2025-09-08
REF059,IA058,UW009,UnusualCoverageRequest,InProgress,2025-08-28
