riskAssessmentId,applicationId,riskScore,riskCategory,assessmentDate
RA001,IA072,72,Elevated,2025-07-13
RA002,IA291,46,Elevated,2025-06-10
RA003,IA226,21,Standard,2025-03-04
RA004,IA233,55,Elevated,2025-11-28
RA005,IA135,30,Standard,2025-06-05
RA006,IA014,19,Standard,2025-10-15
RA007,IA120,61,Elevated,2025-04-10
RA008,IA052,59,Elevated,2025-05-29
RA009,IA216,95,High-Risk,2025-04-30
RA010,IA127,12,Standard,2025-04-28
RA011,IA165,60,Elevated,2025-06-30
RA012,IA269,12,Standard,2025-06-29
RA013,IA106,56,Elevated,2025-03-23
RA014,IA224,10,Standard,2025-10-18
RA015,IA029,50,Elevated,2025-10-24
RA016,IA271,52,Elevated,2025-07-15
RA017,IA141,94,High-Risk,2025-09-27
RA018,IA226,32,Standard,2025-09-26
RA019,IA264,23,Standard,2025-07-28
RA020,IA156,49,Elevated,2025-09-19
RA021,IA203,55,Elevated,2025-06-02
RA022,IA257,26,Standard,2025-05-26
RA023,IA272,73,Elevated,2025-03-21
RA024,IA278,24,Standard,2025-08-12
RA025,IA266,58,Elevated,2025-10-16
RA026,IA043,44,Elevated,2025-07-09
RA027,IA001,65,Elevated,2025-04-01
RA028,IA198,71,Elevated,2025-09-26
RA029,IA178,65,Elevated,2025-06-13
RA030,IA207,6,Standard,2025-03-10
RA031,IA039,40,Standard,2025-01-02
RA032,IA271,60,Elevated,2025-11-08
RA033,IA221,5,Standard,2025-01-21
RA034,IA087,91,High-Risk,2025-12-09
RA035,IA249,13,Standard,2025-02-07
RA036,IA271,38,Standard,2025-05-04
RA037,IA228,17,Standard,2025-10-21
RA038,IA194,66,Elevated,2025-04-23
RA039,IA148,55,Elevated,2025-08-29
RA040,IA263,9,Standard,2025-03-23
RA041,IA278,49,Elevated,2025-09-12
RA042,IA222,23,Standard,2025-12-05
RA043,IA272,28,Standard,2025-12-04
RA044,IA100,56,Elevated,2025-08-11
RA045,IA157,72,Elevated,2025-06-22
RA046,IA235,15,Standard,2025-09-03
RA047,IA115,61,Elevated,2025-01-14
RA048,IA024,37,Standard,2025-01-04
RA049,IA113,39,Standard,2025-09-14
RA050,IA176,50,Elevated,2025-07-12
RA051,IA049,8,Standard,2025-02-10
RA052,IA166,53,Elevated,2025-11-30
RA053,IA229,5,Standard,2025-06-25
RA054,IA106,94,High-Risk,2025-01-11
RA055,IA118,78,High-Risk,2025-03-15
RA056,IA119,5,Standard,2025-09-24
RA057,IA232,27,Standard,2025-10-06
RA058,IA169,64,Elevated,2025-08-28
RA059,IA085,60,Elevated,2025-08-09
RA060,IA147,50,Elevated,2025-06-15
RA061,IA176,47,Elevated,2025-12-16
RA062,IA144,15,Standard,2025-09-12
RA063,IA148,39,Standard,2025-02-24
RA064,IA237,34,Standard,2025-08-07
RA065,IA223,77,High-Risk,2025-10-14
RA066,IA076,26,Standard,2025-10-29
RA067,IA176,42,Elevated,2025-09-08
RA068,IA271,53,Elevated,2025-10-29
RA069,IA289,28,Standard,2025-11-28
RA070,IA253,5,Standard,2025-11-23
RA071,IA141,85,High-Risk,2025-09-28
RA072,IA049,62,Elevated,2025-01-27
RA073,IA148,33,Standard,2025-02-03
RA074,IA152,45,Elevated,2025-06-28
RA075,IA187,95,High-Risk,2025-05-24
RA076,IA002,9,Standard,2025-10-30
RA077,IA279,8,Standard,2025-01-18
RA078,IA070,33,Standard,2025-05-18
RA079,IA251,59,Elevated,2025-09-29
RA080,IA300,17,Standard,2025-08-15
RA081,IA297,17,Standard,2025-03-02
RA082,IA066,8,Standard,2025-12-22
RA083,IA137,20,Standard,2025-08-23
RA084,IA135,47,Elevated,2025-08-17
RA085,IA157,87,High-Risk,2025-03-04
RA086,IA016,44,Elevated,2025-02-21
RA087,IA082,22,Standard,2025-01-12
RA088,IA183,41,Elevated,2025-01-17
RA089,IA188,13,Standard,2025-02-13
RA090,IA174,16,Standard,2025-07-27
RA091,IA270,49,Elevated,2025-08-03
RA092,IA090,14,Standard,2025-10-01
RA093,IA114,72,Elevated,2025-04-26
RA094,IA087,21,Standard,2025-11-06
RA095,IA166,46,Elevated,2025-08-14
RA096,IA006,6,Standard,2025-03-23
RA097,IA160,29,Standard,2025-04-07
RA098,IA228,21,Standard,2025-12-22
RA099,IA223,80,High-Risk,2025-06-24
RA100,IA156,5,Standard,2025-07-22
RA101,IA114,80,High-Risk,2025-06-29
RA102,IA171,75,Elevated,2025-07-30
RA103,IA120,33,Standard,2025-06-17
RA104,IA071,96,High-Risk,2025-06-28
RA105,IA037,90,High-Risk,2025-04-19
RA106,IA162,11,Standard,2025-06-07
RA107,IA239,35,Standard,2025-09-05
RA108,IA192,32,Standard,2025-08-25
RA109,IA070,56,Elevated,2025-04-25
RA110,IA042,56,Elevated,2025-03-04
RA111,IA161,35,Standard,2025-07-16
RA112,IA113,85,High-Risk,2025-01-06
RA113,IA197,68,Elevated,2025-01-02
RA114,IA140,46,Elevated,2025-05-18
RA115,IA285,21,Standard,2025-02-08
RA116,IA080,26,Standard,2025-03-11
RA117,IA103,24,Standard,2025-04-06
RA118,IA216,64,Elevated,2025-09-29
RA119,IA233,24,Standard,2025-09-02
RA120,IA035,65,Elevated,2025-05-15
RA121,IA276,73,Elevated,2025-11-20
RA122,IA283,42,Elevated,2025-03-30
RA123,IA141,47,Elevated,2025-03-22
RA124,IA254,87,High-Risk,2025-06-10
RA125,IA171,41,Elevated,2025-03-10
RA126,IA049,42,Elevated,2025-09-11
RA127,IA178,58,Elevated,2025-07-24
RA128,IA188,68,Elevated,2025-02-26
RA129,IA117,14,Standard,2025-06-06
RA130,IA213,83,High-Risk,2025-05-04
RA131,IA228,28,Standard,2025-11-08
RA132,IA173,90,High-Risk,2025-06-10
RA133,IA032,21,Standard,2025-12-20
RA134,IA148,61,Elevated,2025-05-08
RA135,IA074,18,Standard,2025-01-28
RA136,IA257,58,Elevated,2025-12-16
RA137,IA200,50,Elevated,2025-09-07
RA138,IA109,38,Standard,2025-09-10
RA139,IA112,97,High-Risk,2025-09-14
RA140,IA129,37,Standard,2025-09-08
RA141,IA043,37,Standard,2025-09-08
RA142,IA155,79,High-Risk,2025-03-07
RA143,IA037,6,Standard,2025-04-18
RA144,IA088,71,Elevated,2025-01-12
RA145,IA025,47,Elevated,2025-12-01
RA146,IA083,36,Standard,2025-10-02
RA147,IA231,62,Elevated,2025-12-05
RA148,IA059,22,Standard,2025-11-18
RA149,IA032,57,Elevated,2025-05-23
RA150,IA276,36,Standard,2025-09-12
RA151,IA068,44,Elevated,2025-10-18
RA152,IA244,41,Elevated,2025-03-05
RA153,IA286,13,Standard,2025-10-31
RA154,IA271,48,Elevated,2025-03-29
RA155,IA003,46,Elevated,2025-09-20
RA156,IA041,21,Standard,2025-03-31
RA157,IA116,40,Standard,2025-10-09
RA158,IA291,33,Standard,2025-12-06
RA159,IA081,37,Standard,2025-11-25
RA160,IA181,39,Standard,2025-05-13
RA161,IA219,60,Elevated,2025-02-09
RA162,IA220,49,Elevated,2025-05-28
RA163,IA036,40,Standard,2025-12-12
RA164,IA050,89,High-Risk,2025-01-02
RA165,IA037,44,Elevated,2025-02-14
RA166,IA169,19,Standard,2025-12-18
RA167,IA233,7,Standard,2025-03-25
RA168,IA130,12,Standard,2025-11-17
RA169,IA226,22,Standard,2025-07-10
RA170,IA208,17,Standard,2025-06-05
RA171,IA059,16,Standard,2025-11-20
RA172,IA153,9,Standard,2025-09-20
RA173,IA280,68,Elevated,2025-07-05
RA174,IA045,58,Elevated,2025-03-01
RA175,IA150,69,Elevated,2025-11-23
RA176,IA139,94,High-Risk,2025-09-26
RA177,IA240,98,High-Risk,2025-02-08
RA178,IA293,88,High-Risk,2025-08-13
RA179,IA283,51,Elevated,2025-01-31
RA180,IA046,38,Standard,2025-02-12
RA181,IA159,63,Elevated,2025-12-29
RA182,IA294,35,Standard,2025-09-14
RA183,IA172,12,Standard,2025-03-21
RA184,IA260,29,Standard,2025-02-15
RA185,IA133,33,Standard,2025-01-06
RA186,IA202,54,Elevated,2025-08-22
RA187,IA028,98,High-Risk,2025-06-04
RA188,IA207,76,High-Risk,2025-12-14
RA189,IA094,45,Elevated,2025-11-02
RA190,IA270,52,Elevated,2025-01-13
RA191,IA208,58,Elevated,2025-01-26
RA192,IA099,11,Standard,2025-02-08
RA193,IA093,31,Standard,2025-06-27
RA194,IA227,38,Standard,2025-02-28
RA195,IA007,32,Standard,2025-03-04
RA196,IA270,35,Standard,2025-10-31
RA197,IA243,90,High-Risk,2025-06-13
RA198,IA042,14,Standard,2025-11-02
RA199,IA188,35,Standard,2025-07-29
RA200,IA120,46,Elevated,2025-03-21
RA201,IA203,44,Elevated,2025-09-13
RA202,IA177,9,Standard,2025-12-20
RA203,IA102,89,High-Risk,2025-03-13
RA204,IA166,64,Elevated,2025-08-05
RA205,IA134,98,High-Risk,2025-03-16
RA206,IA179,12,Standard,2025-12-06
RA207,IA131,35,Standard,2025-10-19
RA208,IA210,63,Elevated,2025-01-07
RA209,IA060,40,Standard,2025-06-26
RA210,IA066,54,Elevated,2025-03-29
RA211,IA250,38,Standard,2025-04-13
RA212,IA217,43,Elevated,2025-05-05
RA213,IA073,74,Elevated,2025-05-26
RA214,IA062,84,High-Risk,2025-12-22
RA215,IA020,30,Standard,2025-07-28
RA216,IA082,27,Standard,2025-08-23
RA217,IA154,36,Standard,2025-12-11
RA218,IA095,83,High-Risk,2025-06-12
RA219,IA266,9,Standard,2025-08-02
RA220,IA277,51,Elevated,2025-07-04
RA221,IA094,6,Standard,2025-12-16
RA222,IA292,27,Standard,2025-09-21
RA223,IA044,33,Standard,2025-08-02
RA224,IA004,47,Elevated,2025-03-24
RA225,IA108,56,Elevated,2025-03-01
RA226,IA232,36,Standard,2025-11-29
RA227,IA152,10,Standard,2025-06-27
RA228,IA280,88,High-Risk,2025-11-11
RA229,IA104,11,Standard,2025-08-17
RA230,IA264,90,High-Risk,2025-08-11
RA231,IA261,46,Elevated,2025-07-20
RA232,IA199,33,Standard,2025-10-26
RA233,IA023,74,Elevated,2025-12-20
RA234,IA133,17,Standard,2025-11-29
RA235,IA191,47,Elevated,2025-05-22
RA236,IA290,24,Standard,2025-04-14
RA237,IA038,54,Elevated,2025-04-10
RA238,IA156,65,Elevated,2025-02-03
RA239,IA063,44,Elevated,2025-09-13
RA240,IA035,29,Standard,2025-07-23
RA241,IA207,35,Standard,2025-11-29
RA242,IA227,61,Elevated,2025-08-31
RA243,IA243,24,Standard,2025-11-22
RA244,IA089,65,Elevated,2025-05-11
RA245,IA252,54,Elevated,2025-04-21
RA246,IA256,68,Elevated,2025-06-04
RA247,IA112,21,Standard,2025-06-09
RA248,IA231,56,Elevated,2025-03-04
RA249,IA179,40,Standard,2025-06-01
RA250,IA052,35,Standard,2025-04-22
RA251,IA258,35,Standard,2025-03-23
RA252,IA093,32,Standard,2025-05-18
RA253,IA072,18,Standard,2025-09-03
RA254,IA173,55,Elevated,2025-05-25
RA255,IA219,32,Standard,2025-10-30
RA256,IA006,22,Standard,2025-02-20
RA257,IA185,23,Standard,2025-08-28
RA258,IA234,63,Elevated,2025-11-26
RA259,IA190,68,Elevated,2025-11-28
RA260,IA090,77,High-Risk,2025-09-13
RA261,IA026,20,Standard,2025-02-11
RA262,IA113,40,Standard,2025-12-09
RA263,IA104,76,High-Risk,2025-06-21
RA264,IA082,11,Standard,2025-08-23
RA265,IA243,26,Standard,2025-10-25
RA266,IA085,75,Elevated,2025-10-19
RA267,IA270,27,Standard,2025-03-15
RA268,IA066,57,Elevated,2025-03-09
RA269,IA068,34,Standard,2025-10-26
RA270,IA265,67,Elevated,2025-08-11
RA271,IA074,22,Standard,2025-03-06
RA272,IA147,54,Elevated,2025-05-26
RA273,IA159,55,Elevated,2025-05-31
RA274,IA030,72,Elevated,2025-09-03
RA275,IA256,56,Elevated,2025-10-25
RA276,IA076,92,High-Risk,2025-03-10
