decisionId,applicationId,underwriterId,decision,premium,decisionDate
UD001,IA001,UW006,Approved,7895,2025-04-14
UD002,IA009,UW004,Declined,1444,2025-04-23
UD003,IA011,UW007,Declined,2347,2025-06-07
UD004,IA017,UW012,Approved,2847,2025-05-30
UD005,IA018,UW011,Declined,6674,2025-05-05
UD006,IA027,UW012,Approved,5423,2025-04-10
UD007,IA030,UW013,Declined,4669,2025-10-21
UD008,IA035,UW012,Declined,3753,2025-03-22
UD009,IA042,UW008,ApprovedWithConditions,7596,2025-06-28
UD010,IA043,UW012,Approved,2023,2025-10-28
UD011,IA047,UW011,Approved,1062,2025-12-07
UD012,IA049,UW017,Declined,5070,2025-06-13
UD013,IA051,UW004,Declined,7925,2025-03-28
UD014,IA052,UW009,ApprovedWithConditions,5949,2025-09-13
UD015,IA054,UW010,ApprovedWithConditions,5734,2025-03-07
UD016,IA055,UW018,Approved,5840,2025-10-13
UD017,IA057,UW015,Approved,4002,2025-01-28
UD018,IA058,UW001,Approved,3242,2025-11-29
UD019,IA060,UW015,Declined,6522,2025-11-06
UD020,IA065,UW005,Approved,4494,2025-02-21
UD021,IA066,UW007,ApprovedWithConditions,6995,2025-03-22
UD022,IA068,UW001,Approved,6995,2025-11-30
UD023,IA069,UW003,Declined,3543,2025-01-04
UD024,IA074,UW012,Approved,4679,2025-12-15
UD025,IA075,UW003,Approved,3776,2025-08-28
UD026,IA078,UW002,ApprovedWithConditions,2481,2025-08-07
UD027,IA080,UW016,Approved,6832,2025-11-30
UD028,IA081,UW008,ApprovedWithConditions,4256,2025-11-06
UD029,IA085,UW006,Approved,2241,2025-08-21
UD030,IA086,UW016,ApprovedWithConditions,6865,2025-04-30
UD031,IA089,UW003,ApprovedWithConditions,2101,2025-01-11
UD032,IA091,UW002,Declined,892,2025-11-28
UD033,IA094,UW011,ApprovedWithConditions,5541,2025-12-22
UD034,IA095,UW020,ApprovedWithConditions,5658,2025-07-12
UD035,IA101,UW013,ApprovedWithConditions,7385,2025-09-07
UD036,IA104,UW012,Declined,1651,2025-05-08
UD037,IA105,UW007,Approved,5335,2025-10-10
UD038,IA109,UW018,ApprovedWithConditions,6745,2025-10-15
UD039,IA110,UW015,Declined,3549,2025-10-03
UD040,IA112,UW018,Approved,2458,2025-05-06
UD041,IA114,UW010,ApprovedWithConditions,4427,2025-10-08
UD042,IA115,UW004,ApprovedWithConditions,6133,2025-05-23
UD043,IA116,UW008,Declined,5360,2025-08-02
UD044,IA121,UW020,Declined,1616,2025-01-27
UD045,IA125,UW019,ApprovedWithConditions,2045,2025-08-31
UD046,IA126,UW011,Declined,2347,2025-11-16
UD047,IA129,UW019,Approved,2264,2025-02-12
UD048,IA130,UW012,ApprovedWithConditions,2503,2025-11-21
UD049,IA131,UW007,Approved,2870,2025-04-11
UD050,IA133,UW006,Declined,568,2025-12-26
UD051,IA134,UW002,ApprovedWithConditions,3215,2025-05-28
UD052,IA135,UW011,Approved,1542,2025-03-14
UD053,IA137,UW013,Approved,575,2025-01-20
UD054,IA138,UW010,ApprovedWithConditions,3720,2025-06-13
UD055,IA141,UW005,ApprovedWithConditions,1035,2025-07-17
UD056,IA143,UW002,ApprovedWithConditions,5084,2025-08-19
UD057,IA145,UW012,ApprovedWithConditions,7755,2025-03-06
UD058,IA147,UW010,Declined,4934,2025-08-07
UD059,IA148,UW011,Approved,6086,2025-04-07
UD060,IA150,UW009,ApprovedWithConditions,5837,2025-04-20
UD061,IA151,UW014,ApprovedWithConditions,6170,2025-06-27
