claimId,amount,status,submissionDate
CLM001,47312,UnderReview,2025-12-23
CLM002,48661,Approved,2025-12-19
CLM003,5614,Rejected,2025-03-04
CLM004,43382,UnderReview,2025-08-25
CLM005,58807,UnderReview,2025-12-12
CLM006,8278,UnderReview,2025-02-12
CLM007,9159,Approved,2025-10-26
CLM008,54769,Approved,2025-01-23
CLM009,15257,Approved,2025-12-21
CLM010,8864,Rejected,2025-09-25
CLM011,19746,Approved,2025-07-29
CLM012,56922,Rejected,2025-10-25
CLM013,47882,Rejected,2025-08-01
CLM014,15348,Rejected,2025-10-21
CLM015,51051,Rejected,2025-05-08
CLM016,6140,UnderReview,2025-04-14
CLM017,38532,Approved,2025-12-21
CLM018,41023,Rejected,2025-09-01
CLM019,54611,UnderReview,2025-12-31
CLM020,18937,Approved,2025-09-28
CLM021,58603,UnderReview,2025-09-28
CLM022,13155,Rejected,2025-09-26
CLM023,19930,Approved,2025-09-04
CLM024,55078,Approved,2025-03-09
CLM025,28034,Rejected,2025-05-10
CLM026,7052,UnderReview,2025-06-28
CLM027,6836,Rejected,2025-12-25
CLM028,54300,Approved,2025-06-06
CLM029,32294,Rejected,2025-03-05
CLM030,37416,Approved,2025-12-29
CLM031,25621,UnderReview,2025-01-11
CLM032,36540,UnderReview,2025-11-02
CLM033,41185,UnderReview,2025-07-15
CLM034,54173,Rejected,2025-08-16
CLM035,17658,Rejected,2025-02-03
CLM036,12070,UnderReview,2025-01-23
CLM037,21782,Rejected,2025-06-01
CLM038,57690,Approved,2025-10-06
CLM039,16205,Rejected,2025-05-02
CLM040,41295,Approved,2025-04-28
CLM041,25813,Approved,2025-10-24
CLM042,6031,Rejected,2025-12-10
CLM043,25407,Approved,2025-09-02
CLM044,30272,UnderReview,2025-02-15
CLM045,36826,Approved,2025-12-13
CLM046,2810,UnderReview,2025-05-21
CLM047,45391,Rejected,2025-04-29
CLM048,35656,Approved,2025-08-22
CLM049,20783,UnderReview,2025-04-03
CLM050,12421,UnderReview,2025-07-06
CLM051,35206,Rejected,2025-01-17
CLM052,46326,Rejected,2025-11-23
CLM053,57602,Rejected,2025-12-04
CLM054,45207,UnderReview,2025-06-26
CLM055,9260,UnderReview,2025-11-28
CLM056,41862,Rejected,2025-02-04
CLM057,55867,Approved,2025-11-15
CLM058,58280,UnderReview,2025-11-17
CLM059,48601,Approved,2025-07-30
CLM060,28597,UnderReview,2025-05-27
CLM061,39633,Rejected,2025-10-04
CLM062,21390,UnderReview,2025-05-10
CLM063,17992,Rejected,2025-01-18
CLM064,26696,Rejected,2025-08-20
CLM065,22006,UnderReview,2025-03-14
CLM066,9422,UnderReview,2025-08-16
CLM067,59156,Rejected,2025-10-17
CLM068,36316,Rejected,2025-10-30
CLM069,1107,Approved,2025-09-07
CLM070,1744,UnderReview,2025-03-19
CLM071,16348,Rejected,2025-08-25
CLM072,46874,Rejected,2025-07-12
CLM073,56916,Approved,2025-05-14
CLM074,44885,Approved,2025-11-29
CLM075,39573,Rejected,2025-10-09
CLM076,36072,Approved,2025-11-11
CLM077,3932,Approved,2025-03-16
CLM078,35191,UnderReview,2025-01-25
CLM079,49724,Rejected,2025-05-10
CLM080,45920,Approved,2025-05-10
CLM081,28923,Approved,2025-05-31
CLM082,50140,UnderReview,2025-10-24
CLM083,51429,UnderReview,2025-06-02
CLM084,13230,UnderReview,2025-12-08
CLM085,43335,Rejected,2025-09-21
CLM086,31120,Rejected,2025-10-30
CLM087,15668,UnderReview,2025-02-24
CLM088,23812,UnderReview,2025-12-10
CLM089,40672,Rejected,2025-09-21
CLM090,19144,Approved,2025-08-29
CLM091,30703,UnderReview,2025-12-30
CLM092,3928,Rejected,2025-05-23
CLM093,32369,Approved,2025-03-10
CLM094,52342,Approved,2025-09-25
CLM095,51093,Approved,2025-11-07
CLM096,16217,UnderReview,2025-05-29
CLM097,23869,Rejected,2025-07-12
CLM098,22047,Approved,2025-03-05
CLM099,7571,Approved,2025-11-29
CLM100,21067,UnderReview,2025-12-30
CLM101,18464,Approved,2025-08-14
CLM102,58040,UnderReview,2025-06-15
CLM103,47405,Rejected,2025-05-21
CLM104,6956,Rejected,2025-07-24
CLM105,57478,Approved,2025-06-03
CLM106,44405,UnderReview,2025-03-22
CLM107,48540,UnderReview,2025-06-21
CLM108,43876,Rejected,2025-09-26
CLM109,21497,UnderReview,2025-12-25
CLM110,36615,Rejected,2025-05-19
CLM111,2600,Rejected,2025-03-14
CLM112,32649,Approved,2025-07-30
CLM113,1464,UnderReview,2025-11-22
CLM114,58957,Rejected,2025-11-24
CLM115,43609,UnderReview,2025-08-06
CLM116,7201,UnderReview,2025-06-30
CLM117,7722,Rejected,2025-05-10
CLM118,45750,Rejected,2025-12-03
CLM119,3343,Rejected,2025-01-15
CLM120,55436,UnderReview,2025-10-06
CLM121,13130,UnderReview,2025-05-26
CLM122,1794,UnderReview,2025-05-14
CLM123,7479,UnderReview,2025-01-04
CLM124,54136,Rejected,2025-05-19
CLM125,23456,Rejected,2025-03-21
CLM126,13430,UnderReview,2025-06-04
CLM127,27391,Approved,2025-04-20
CLM128,46624,UnderReview,2025-10-26
CLM129,14766,Rejected,2025-10-30
CLM130,53678,UnderReview,2025-06-16
CLM131,6009,Approved,2025-06-03
CLM132,29071,Approved,2025-06-22
CLM133,35709,Approved,2025-08-17
CLM134,44473,Rejected,2025-06-08
CLM135,40029,UnderReview,2025-12-24
CLM136,42259,Approved,2025-12-31
CLM137,18695,Approved,2025-11-06
CLM138,8231,Rejected,2025-08-18
CLM139,40885,Rejected,2025-08-31
CLM140,37991,Rejected,2025-06-13
CLM141,6299,Approved,2025-01-25
CLM142,46660,Approved,2025-01-12
CLM143,21388,Rejected,2025-05-05
CLM144,26648,Approved,2025-06-23
