evidenceId,fraudCaseId,evidenceType,description,collectedDate
EV001,FC182,FinancialRecord,FinancialRecord collected during investigation,2025-01-01
EV002,FC265,MedicalRecord,WitnessStatement collected during investigation,2025-10-27
EV003,FC071,MedicalRecord,WitnessStatement collected during investigation,2025-06-18
EV004,FC087,MedicalRecord,FinancialRecord collected during investigation,2025-01-19
EV005,FC055,FinancialRecord,PoliceReport collected during investigation,2025-12-28
EV006,FC044,WitnessStatement,MedicalRecord collected during investigation,2025-04-11
EV007,FC226,PhotoEvidence,MedicalRecord collected during investigation,2025-06-16
EV008,FC067,PoliceReport,MedicalRecord collected during investigation,2025-07-01
EV009,FC162,FinancialRecord,FinancialRecord collected during investigation,2025-10-05
EV010,FC144,MedicalRecord,PoliceReport collected during investigation,2025-03-28
EV011,FC202,WitnessStatement,MedicalRecord collected during investigation,2025-06-28
EV012,FC273,MedicalRecord,PoliceReport collected during investigation,2025-05-29
EV013,FC266,MedicalRecord,FinancialRecord collected during investigation,2025-06-21
EV014,FC111,MedicalRecord,PhotoEvidence collected during investigation,2025-03-16
EV015,FC185,FinancialRecord,MedicalRecord collected during investigation,2025-09-06
EV016,FC164,FinancialRecord,FinancialRecord collected during investigation,2025-09-18
EV017,FC148,WitnessStatement,MedicalRecord collected during investigation,2025-04-11
EV018,FC080,WitnessStatement,PhotoEvidence collected during investigation,2025-06-08
EV019,FC218,PhotoEvidence,PhotoEvidence collected during investigation,2025-01-24
EV020,FC095,FinancialRecord,FinancialRecord collected during investigation,2025-03-10
EV021,FC039,PhotoEvidence,WitnessStatement collected during investigation,2025-05-21
EV022,FC147,PhotoEvidence,PoliceReport collected during investigation,2025-09-01
EV023,FC005,MedicalRecord,PoliceReport collected during investigation,2025-12-30
EV024,FC146,FinancialRecord,PhotoEvidence collected during investigation,2025-05-29
EV025,FC294,PoliceReport,MedicalRecord collected during investigation,2025-07-20
EV026,FC291,PoliceReport,MedicalRecord collected during investigation,2025-01-21
EV027,FC209,MedicalRecord,MedicalRecord collected during investigation,2025-06-25
EV028,FC022,WitnessStatement,MedicalRecord collected during investigation,2025-11-23
EV029,FC268,PhotoEvidence,WitnessStatement collected during investigation,2025-09-16
EV030,FC094,WitnessStatement,MedicalRecord collected during investigation,2025-07-15
EV031,FC239,FinancialRecord,PoliceReport collected during investigation,2025-12-18
EV032,FC126,FinancialRecord,MedicalRecord collected during investigation,2025-04-06
EV033,FC069,FinancialRecord,MedicalRecord collected during investigation,2025-11-05
EV034,FC197,WitnessStatement,PhotoEvidence collected during investigation,2025-10-13
EV035,FC029,PoliceReport,PhotoEvidence collected during investigation,2025-11-23
EV036,FC219,FinancialRecord,FinancialRecord collected during investigation,2025-10-27
EV037,FC168,WitnessStatement,FinancialRecord collected during investigation,2025-06-06
EV038,FC273,WitnessStatement,PoliceReport collected during investigation,2025-02-25
EV039,FC297,MedicalRecord,FinancialRecord collected during investigation,2025-11-27
EV040,FC115,MedicalRecord,PoliceReport collected during investigation,2025-11-24
EV041,FC247,PoliceReport,PhotoEvidence collected during investigation,2025-09-09
EV042,FC280,MedicalRecord,PoliceReport collected during investigation,2025-01-01
EV043,FC221,PoliceReport,FinancialRecord collected during investigation,2025-01-10
EV044,FC208,WitnessStatement,MedicalRecord collected during investigation,2025-10-07
EV045,FC201,FinancialRecord,PoliceReport collected during investigation,2025-09-12
EV046,FC210,PhotoEvidence,PoliceReport collected during investigation,2025-10-28
EV047,FC016,PoliceReport,PhotoEvidence collected during investigation,2025-03-25
EV048,FC011,PhotoEvidence,MedicalRecord collected during investigation,2025-01-24
EV049,FC168,PhotoEvidence,PhotoEvidence collected during investigation,2025-08-04
EV050,FC176,MedicalRecord,PoliceReport collected during investigation,2025-08-19
EV051,FC296,PoliceReport,PoliceReport collected during investigation,2025-05-29
EV052,FC048,WitnessStatement,PhotoEvidence collected during investigation,2025-07-14
EV053,FC088,FinancialRecord,MedicalRecord collected during investigation,2025-09-10
EV054,FC114,PhotoEvidence,PoliceReport collected during investigation,2025-05-10
EV055,FC131,PoliceReport,WitnessStatement collected during investigation,2025-08-28
EV056,FC022,PoliceReport,MedicalRecord collected during investigation,2025-11-11
EV057,FC018,PhotoEvidence,WitnessStatement collected during investigation,2025-09-26
EV058,FC050,MedicalRecord,MedicalRecord collected during investigation,2025-02-24
