fraudCaseId,claimId,openedDate,status,riskLevel,assignedInvestigatorId
FC001,CLM012,2025-04-11,ConfirmedFraud,Medium,SIU002
FC002,CLM296,2025-02-03,Closed,Low,SIU012
FC003,CLM243,2025-04-23,ConfirmedFraud,Low,SIU020
FC004,CLM257,2025-12-22,Closed,Critical,SIU011
FC005,,2025-09-01,Cleared,Low,
FC006,CLM138,2025-02-22,Open,High,SIU008
FC007,CLM249,2025-07-22,UnderReview,Low,SIU010
FC008,CLM234,2025-03-11,ConfirmedFraud,High,SIU016
FC009,CLM145,2025-01-03,UnderReview,Medium,SIU011
FC010,CLM041,2025-01-02,Cleared,Medium,SIU011
FC011,CLM091,2025-03-03,Open,Low,SIU003
FC012,CLM217,2025-03-02,Cleared,Low,SIU018
FC013,CLM001,2025-03-23,Closed,Critical,SIU011
FC014,CLM291,2025-11-16,UnderReview,High,SIU013
FC015,CLM070,2025-10-04,Closed,High,SIU020
FC016,CLM109,2025-07-20,UnderReview,Medium,SIU010
FC017,CLM141,2025-12-04,ConfirmedFraud,High,SIU019
FC018,CLM121,2025-07-03,ConfirmedFraud,High,SIU002
FC019,,2025-10-06,UnderReview,High,
FC020,CLM063,2025-10-04,ConfirmedFraud,Low,SIU014
FC021,CLM035,2025-10-06,Cleared,Critical,SIU006
FC022,CLM035,2025-09-03,Cleared,Medium,SIU010
FC023,CLM116,2025-12-18,Open,Low,SIU007
FC024,CLM079,2025-07-05,Open,Critical,SIU001
FC025,CLM060,2025-10-28,Open,Medium,SIU011
FC026,CLM274,2025-05-21,ConfirmedFraud,Medium,SIU014
FC027,CLM033,2025-01-11,Open,Medium,SIU007
FC028,CLM090,2025-03-12,Cleared,Low,SIU009
FC029,CLM100,2025-02-28,Closed,High,SIU017
FC030,CLM282,2025-11-18,UnderReview,High,SIU016
FC031,CLM234,2025-07-15,Cleared,Medium,SIU005
FC032,CLM165,2025-04-05,Cleared,High,SIU005
FC033,CLM002,2025-01-10,Open,High,SIU008
FC034,CLM277,2025-07-22,UnderReview,Critical,SIU014
FC035,CLM247,2025-08-17,UnderReview,Low,SIU015
FC036,CLM230,2025-08-24,ConfirmedFraud,High,SIU008
FC037,CLM144,2025-05-01,Cleared,High,SIU007
FC038,CLM026,2025-11-22,UnderReview,Critical,SIU007
FC039,CLM254,2025-03-06,Closed,Medium,SIU004
FC040,CLM039,2025-10-19,Open,Medium,SIU001
FC041,CLM030,2025-10-13,Closed,Low,SIU010
FC042,CLM227,2025-11-03,Closed,Critical,SIU007
FC043,CLM187,2025-10-28,Cleared,Low,SIU006
FC044,CLM044,2025-01-03,ConfirmedFraud,High,SIU007
FC045,CLM248,2025-12-04,Open,Low,SIU010
FC046,CLM177,2025-03-28,ConfirmedFraud,Low,SIU004
FC047,CLM075,2025-11-23,UnderReview,Medium,SIU003
FC048,CLM241,2025-02-27,Closed,High,SIU008
FC049,CLM234,2025-10-27,Open,High,SIU006
FC050,CLM223,2025-08-22,Closed,High,SIU011
FC051,CLM052,2025-03-27,Cleared,High,SIU016
FC052,CLM192,2025-05-24,Cleared,Medium,SIU017
FC053,CLM293,2025-10-25,UnderReview,High,SIU019
FC054,CLM080,2025-07-03,UnderReview,High,SIU003
FC055,CLM188,2025-01-03,UnderReview,High,SIU012
FC056,CLM252,2025-02-14,Cleared,Medium,SIU002
FC057,CLM069,2025-07-14,Closed,Low,SIU014
FC058,CLM290,2025-06-20,Cleared,Medium,SIU018
FC059,CLM105,2025-07-30,ConfirmedFraud,Critical,SIU015
FC060,CLM228,2025-01-09,ConfirmedFraud,Critical,SIU007
FC061,CLM276,2025-10-25,ConfirmedFraud,Critical,SIU011
FC062,CLM118,2025-07-23,ConfirmedFraud,Low,SIU017
FC063,CLM215,2025-06-04,Closed,High,SIU007
FC064,CLM031,2025-07-11,ConfirmedFraud,Medium,SIU004
FC065,CLM272,2025-08-04,ConfirmedFraud,High,SIU016
FC066,CLM229,2025-10-17,Closed,High,SIU005
FC067,CLM158,2025-04-15,Cleared,Critical,SIU002
FC068,CLM191,2025-01-16,Open,Critical,SIU005
FC069,CLM151,2025-02-19,UnderReview,High,SIU013
FC070,CLM235,2025-04-18,ConfirmedFraud,Medium,SIU002
FC071,CLM086,2025-12-04,UnderReview,Critical,SIU013
FC072,CLM253,2025-10-06,Open,High,SIU006
FC073,CLM074,2025-02-24,Cleared,Low,SIU005
FC074,CLM178,2025-03-10,Closed,Medium,SIU012
FC075,CLM252,2025-11-30,Cleared,Medium,SIU011
FC076,CLM239,2025-03-21,ConfirmedFraud,Medium,SIU016
FC077,CLM289,2025-10-21,Closed,High,SIU010
FC078,CLM194,2025-07-20,Open,Medium,SIU006
FC079,CLM213,2025-09-17,Closed,Critical,SIU012
FC080,CLM169,2025-05-30,ConfirmedFraud,Medium,SIU001
FC081,CLM078,2025-02-18,Open,Medium,SIU009
FC082,CLM218,2025-07-02,UnderReview,High,SIU007
FC083,CLM281,2025-07-11,Cleared,Low,SIU003
FC084,CLM143,2025-09-20,ConfirmedFraud,High,SIU013
FC085,CLM214,2025-06-18,UnderReview,Medium,SIU016
FC086,CLM300,2025-05-30,Cleared,Medium,SIU002
FC087,CLM081,2025-02-25,ConfirmedFraud,Low,SIU017
FC088,CLM025,2025-09-29,Open,Critical,SIU020
FC089,,2025-02-12,Open,Low,
FC090,CLM017,2025-11-22,ConfirmedFraud,High,SIU004
FC091,CLM194,2025-05-21,Cleared,Critical,SIU010
FC092,CLM020,2025-05-31,Open,Critical,SIU018
FC093,CLM233,2025-07-26,Closed,Low,SIU015
FC094,CLM299,2025-10-14,Closed,Critical,SIU007
FC095,CLM222,2025-09-20,Open,Critical,SIU003
FC096,CLM269,2025-02-22,Cleared,Critical,SIU007
FC097,CLM136,2025-11-26,UnderReview,Medium,SIU016
FC098,CLM115,2025-11-05,Closed,Medium,SIU001
FC099,CLM182,2025-12-29,Open,Critical,SIU018
FC100,CLM117,2025-08-31,Cleared,Critical,SIU019
FC101,CLM171,2025-10-28,Open,Medium,SIU009
FC102,CLM256,2025-09-29,ConfirmedFraud,High,SIU020
FC103,CLM185,2025-03-14,ConfirmedFraud,Medium,SIU010
FC104,CLM264,2025-11-13,ConfirmedFraud,High,SIU007
FC105,CLM133,2025-10-10,UnderReview,High,SIU004
FC106,CLM134,2025-12-01,UnderReview,Low,SIU007
FC107,CLM110,2025-03-17,Cleared,Low,SIU006
FC108,CLM026,2025-05-17,ConfirmedFraud,Low,SIU004
FC109,CLM262,2025-12-03,UnderReview,Low,SIU005
FC110,CLM274,2025-06-19,UnderReview,High,SIU008
FC111,CLM066,2025-04-27,Cleared,Low,SIU008
FC112,CLM062,2025-07-11,UnderReview,Low,SIU008
FC113,CLM234,2025-05-13,Cleared,Medium,SIU006
FC114,CLM030,2025-07-20,Cleared,High,SIU001
FC115,CLM295,2025-03-04,Closed,High,SIU011
FC116,CLM240,2025-01-24,ConfirmedFraud,Medium,SIU004
FC117,CLM052,2025-12-02,Closed,Medium,SIU013
FC118,CLM144,2025-08-31,Cleared,Medium,SIU002
FC119,CLM227,2025-06-29,Cleared,Critical,SIU002
FC120,,2025-12-27,Open,Critical,
FC121,CLM012,2025-09-06,Cleared,High,SIU014
FC122,CLM287,2025-12-11,Open,Medium,SIU007
FC123,CLM262,2025-02-09,Cleared,High,SIU017
FC124,CLM276,2025-01-14,Cleared,Low,SIU012
FC125,CLM233,2025-01-04,Closed,Critical,SIU001
FC126,CLM281,2025-11-12,ConfirmedFraud,Low,SIU002
FC127,,2025-09-11,ConfirmedFraud,High,
FC128,CLM290,2025-11-23,ConfirmedFraud,Medium,SIU003
FC129,CLM284,2025-12-10,Cleared,Low,SIU012
FC130,CLM261,2025-10-11,Open,Medium,SIU005
FC131,CLM121,2025-08-24,Cleared,Low,SIU017
FC132,CLM211,2025-02-22,ConfirmedFraud,Medium,SIU010
FC133,CLM099,2025-09-08,Open,Critical,SIU011
FC134,CLM292,2025-12-28,Cleared,High,SIU009
FC135,CLM047,2025-06-15,ConfirmedFraud,Medium,SIU012
FC136,CLM259,2025-12-08,ConfirmedFraud,Medium,SIU017
FC137,CLM067,2025-12-28,ConfirmedFraud,High,SIU010
FC138,CLM055,2025-06-07,ConfirmedFraud,Low,SIU020
FC139,CLM224,2025-07-12,Cleared,Medium,SIU006
FC140,CLM056,2025-05-19,UnderReview,High,SIU018
FC141,CLM246,2025-09-19,Closed,Critical,SIU014
FC142,CLM172,2025-10-27,Open,Low,SIU014
FC143,CLM208,2025-08-24,Open,High,SIU016
FC144,CLM199,2025-03-12,ConfirmedFraud,High,SIU004
FC145,CLM006,2025-03-14,UnderReview,Critical,SIU017
FC146,CLM108,2025-02-02,Cleared,High,SIU002
FC147,CLM126,2025-05-08,Cleared,High,SIU005
FC148,CLM105,2025-12-11,ConfirmedFraud,Low,SIU008
FC149,CLM151,2025-09-26,UnderReview,Low,SIU012
FC150,CLM037,2025-05-09,Open,High,SIU013
FC151,CLM185,2025-05-10,UnderReview,Medium,SIU016
FC152,CLM158,2025-05-01,Open,Medium,SIU001
FC153,CLM050,2025-01-05,Open,Medium,SIU014
FC154,CLM203,2025-04-12,ConfirmedFraud,Critical,SIU020
FC155,CLM199,2025-05-19,ConfirmedFraud,Critical,SIU001
FC156,CLM263,2025-09-30,UnderReview,Low,SIU003
FC157,CLM187,2025-06-19,ConfirmedFraud,High,SIU009
FC158,CLM186,2025-03-21,ConfirmedFraud,High,SIU019
FC159,CLM300,2025-06-22,ConfirmedFraud,Medium,SIU004
FC160,CLM221,2025-09-06,ConfirmedFraud,Low,SIU020
FC161,CLM192,2025-06-09,UnderReview,High,SIU011
FC162,CLM139,2025-02-03,Cleared,Critical,SIU006
