outcomeId,fraudCaseId,investigatorId,decision,decisionDate
OUT001,FC001,SIU010,Cleared,2025-11-02
OUT002,FC002,SIU012,ConfirmedFraud,2025-09-06
OUT003,FC003,SIU019,Inconclusive,2025-02-24
OUT004,FC004,SIU016,Inconclusive,2025-10-01
OUT005,FC006,SIU010,ConfirmedFraud,2025-04-04
OUT006,FC007,SIU015,ConfirmedFraud,2025-08-03
OUT007,FC008,SIU006,Inconclusive,2025-10-14
OUT008,FC009,SIU018,ConfirmedFraud,2025-01-01
OUT009,FC010,SIU001,Inconclusive,2025-10-05
OUT010,FC011,SIU017,Cleared,2025-01-10
OUT011,FC012,SIU002,Cleared,2025-04-12
OUT012,FC013,SIU008,Cleared,2025-08-22
OUT013,FC014,SIU018,ConfirmedFraud,2025-09-01
OUT014,FC015,SIU007,ConfirmedFraud,2025-01-13
OUT015,FC016,SIU013,ConfirmedFraud,2025-03-05
OUT016,FC017,SIU006,Inconclusive,2025-10-14
OUT017,FC018,SIU002,Cleared,2025-01-08
OUT018,FC020,SIU003,Inconclusive,2025-12-03
OUT019,FC021,SIU006,ConfirmedFraud,2025-11-01
OUT020,FC022,SIU012,Cleared,2025-04-04
OUT021,FC023,SIU009,Cleared,2025-04-23
OUT022,FC024,SIU014,Inconclusive,2025-07-17
OUT023,FC025,SIU001,ConfirmedFraud,2025-02-04
OUT024,FC026,SIU007,ConfirmedFraud,2025-05-03
OUT025,FC027,SIU016,ConfirmedFraud,2025-07-25
OUT026,FC028,SIU007,Inconclusive,2025-09-17
OUT027,FC029,SIU010,Cleared,2025-06-01
OUT028,FC030,SIU005,ConfirmedFraud,2025-06-20
OUT029,FC031,SIU018,Inconclusive,2025-12-19
OUT030,FC032,SIU006,Inconclusive,2025-12-08
OUT031,FC033,SIU019,Cleared,2025-02-07
OUT032,FC034,SIU007,ConfirmedFraud,2025-09-18
OUT033,FC035,SIU014,Cleared,2025-07-13
OUT034,FC036,SIU011,ConfirmedFraud,2025-07-20
OUT035,FC037,SIU014,ConfirmedFraud,2025-07-08
OUT036,FC038,SIU011,ConfirmedFraud,2025-08-26
OUT037,FC039,SIU009,Inconclusive,2025-12-07
OUT038,FC040,SIU011,Cleared,2025-01-12
OUT039,FC041,SIU002,ConfirmedFraud,2025-11-24
OUT040,FC042,SIU010,Cleared,2025-03-17
OUT041,FC043,SIU002,Cleared,2025-01-29
OUT042,FC044,SIU004,Cleared,2025-05-11
OUT043,FC045,SIU015,Inconclusive,2025-12-11
OUT044,FC046,SIU017,Cleared,2025-03-21
OUT045,FC047,SIU013,Inconclusive,2025-08-01
OUT046,FC048,SIU001,ConfirmedFraud,2025-06-25
OUT047,FC049,SIU011,ConfirmedFraud,2025-07-11
OUT048,FC050,SIU004,Cleared,2025-04-15
OUT049,FC051,SIU001,Inconclusive,2025-02-01
OUT050,FC052,SIU007,Inconclusive,2025-07-02
OUT051,FC053,SIU004,ConfirmedFraud,2025-03-18
OUT052,FC054,SIU001,ConfirmedFraud,2025-03-14
OUT053,FC055,SIU005,Cleared,2025-04-13
OUT054,FC056,SIU009,Cleared,2025-09-25
OUT055,FC057,SIU011,Inconclusive,2025-03-05
OUT056,FC058,SIU001,Inconclusive,2025-09-11
OUT057,FC059,SIU016,ConfirmedFraud,2025-11-03
OUT058,FC060,SIU009,Inconclusive,2025-01-08
OUT059,FC061,SIU006,Inconclusive,2025-09-05
OUT060,FC062,SIU018,ConfirmedFraud,2025-11-02
OUT061,FC063,SIU001,Inconclusive,2025-07-15
OUT062,FC064,SIU017,Inconclusive,2025-04-25
OUT063,FC065,SIU005,Cleared,2025-10-20
OUT064,FC066,SIU016,ConfirmedFraud,2025-09-23
OUT065,FC067,SIU016,Inconclusive,2025-09-14
OUT066,FC068,SIU008,Cleared,2025-06-12
OUT067,FC069,SIU016,Inconclusive,2025-04-30
OUT068,FC070,SIU005,ConfirmedFraud,2025-12-06
OUT069,FC071,SIU015,Inconclusive,2025-02-15
OUT070,FC072,SIU020,ConfirmedFraud,2025-12-14
OUT071,FC073,SIU003,Cleared,2025-03-20
OUT072,FC074,SIU004,Cleared,2025-03-08
OUT073,FC075,SIU006,ConfirmedFraud,2025-03-12
OUT074,FC076,SIU014,ConfirmedFraud,2025-12-02
OUT075,FC077,SIU017,Inconclusive,2025-04-20
OUT076,FC078,SIU001,Cleared,2025-06-20
OUT077,FC079,SIU018,ConfirmedFraud,2025-10-26
OUT078,FC080,SIU020,Inconclusive,2025-10-24
OUT079,FC081,SIU006,Cleared,2025-11-18
OUT080,FC082,SIU009,Cleared,2025-10-04
OUT081,FC083,SIU012,Inconclusive,2025-01-02
OUT082,FC084,SIU001,Inconclusive,2025-12-28
OUT083,FC085,SIU010,Cleared,2025-07-05
OUT084,FC086,SIU012,ConfirmedFraud,2025-06-24
OUT085,FC087,SIU006,Cleared,2025-08-26
OUT086,FC088,SIU013,ConfirmedFraud,2025-08-26
OUT087,FC090,SIU013,Inconclusive,2025-04-23
OUT088,FC091,SIU007,ConfirmedFraud,2025-07-19
OUT089,FC092,SIU004,Inconclusive,2025-11-15
OUT090,FC093,SIU006,Inconclusive,2025-03-05
OUT091,FC094,SIU010,Inconclusive,2025-09-20
OUT092,FC095,SIU019,Cleared,2025-07-07
OUT093,FC096,SIU011,ConfirmedFraud,2025-08-21
OUT094,FC097,SIU007,Cleared,2025-02-02
OUT095,FC098,SIU002,ConfirmedFraud,2025-04-18
OUT096,FC099,SIU012,Cleared,2025-12-28
OUT097,FC100,SIU001,Cleared,2025-04-10
OUT098,FC101,SIU014,Inconclusive,2025-10-28
OUT099,FC102,SIU006,Cleared,2025-01-17
OUT100,FC103,SIU003,ConfirmedFraud,2025-10-30
OUT101,FC104,SIU020,Inconclusive,2025-07-30
OUT102,FC105,SIU019,Inconclusive,2025-05-26
OUT103,FC106,SIU003,Cleared,2025-05-26
OUT104,FC107,SIU008,Cleared,2025-02-20
OUT105,FC108,SIU015,ConfirmedFraud,2025-11-13
OUT106,FC109,SIU006,Cleared,2025-06-04
OUT107,FC110,SIU001,ConfirmedFraud,2025-03-21
OUT108,FC111,SIU003,ConfirmedFraud,2025-03-12
OUT109,FC112,SIU010,Inconclusive,2025-05-07
OUT110,FC113,SIU010,Cleared,2025-09-06
OUT111,FC114,SIU012,Cleared,2025-11-04
OUT112,FC115,SIU010,ConfirmedFraud,2025-03-13
OUT113,FC116,SIU003,ConfirmedFraud,2025-09-10
OUT114,FC117,SIU002,Cleared,2025-08-28
OUT115,FC118,SIU012,Cleared,2025-02-07
OUT116,FC119,SIU007,ConfirmedFraud,2025-04-12
OUT117,FC121,SIU014,ConfirmedFraud,2025-12-28
OUT118,FC122,SIU010,Cleared,2025-10-17
OUT119,FC123,SIU002,Cleared,2025-10-12
OUT120,FC124,SIU018,Inconclusive,2025-07-06
OUT121,FC125,SIU018,ConfirmedFraud,2025-02-02
OUT122,FC126,SIU011,Cleared,2025-02-05
OUT123,FC128,SIU019,ConfirmedFraud,2025-07-12
OUT124,FC129,SIU019,ConfirmedFraud,2025-05-24
OUT125,FC130,SIU013,Inconclusive,2025-11-16
OUT126,FC131,SIU007,Cleared,2025-11-09
OUT127,FC132,SIU016,Cleared,2025-10-30
OUT128,FC133,SIU012,ConfirmedFraud,2025-08-21
OUT129,FC134,SIU015,Inconclusive,2025-03-26
OUT130,FC135,SIU012,ConfirmedFraud,2025-10-28
OUT131,FC136,SIU002,Inconclusive,2025-10-01
OUT132,FC137,SIU012,ConfirmedFraud,2025-01-13
OUT133,FC138,SIU013,Inconclusive,2025-05-08
OUT134,FC139,SIU011,ConfirmedFraud,2025-09-17
OUT135,FC140,SIU014,Inconclusive,2025-11-29
OUT136,FC141,SIU010,Inconclusive,2025-02-02
OUT137,FC142,SIU003,Cleared,2025-07-01
OUT138,FC143,SIU015,Cleared,2025-11-03
OUT139,FC144,SIU016,Inconclusive,2025-04-27
OUT140,FC145,SIU013,Cleared,2025-01-16
OUT141,FC146,SIU015,Inconclusive,2025-06-06
OUT142,FC147,SIU003,ConfirmedFraud,2025-10-25
OUT143,FC148,SIU020,ConfirmedFraud,2025-10-30
OUT144,FC149,SIU013,ConfirmedFraud,2025-05-28
OUT145,FC150,SIU009,Inconclusive,2025-10-26
OUT146,FC151,SIU001,ConfirmedFraud,2025-03-08
OUT147,FC152,SIU006,Cleared,2025-03-12
OUT148,FC153,SIU008,ConfirmedFraud,2025-04-12
OUT149,FC154,SIU004,Cleared,2025-01-03
OUT150,FC155,SIU003,Inconclusive,2025-08-10
OUT151,FC156,SIU016,Inconclusive,2025-12-20
OUT152,FC157,SIU011,Inconclusive,2025-07-17
OUT153,FC158,SIU017,ConfirmedFraud,2025-02-24
OUT154,FC159,SIU016,Cleared,2025-03-13
OUT155,FC160,SIU006,ConfirmedFraud,2025-11-12
OUT156,FC161,SIU001,Cleared,2025-05-10
OUT157,FC162,SIU014,ConfirmedFraud,2025-12-23
OUT158,FC163,SIU016,Cleared,2025-02-05
OUT159,FC164,SIU016,Inconclusive,2025-03-25
OUT160,FC165,SIU016,ConfirmedFraud,2025-06-13
OUT161,FC166,SIU017,Cleared,2025-08-14
OUT162,FC167,SIU018,Cleared,2025-03-16
OUT163,FC168,SIU008,Cleared,2025-08-21
OUT164,FC169,SIU014,ConfirmedFraud,2025-12-01
OUT165,FC170,SIU018,Inconclusive,2025-08-09
OUT166,FC171,SIU008,Cleared,2025-01-06
OUT167,FC172,SIU007,Cleared,2025-09-24
OUT168,FC173,SIU013,Inconclusive,2025-12-24
OUT169,FC174,SIU012,Cleared,2025-08-21
OUT170,FC175,SIU011,Inconclusive,2025-02-17
OUT171,FC176,SIU014,Inconclusive,2025-10-10
OUT172,FC177,SIU006,Inconclusive,2025-10-22
OUT173,FC178,SIU012,Inconclusive,2025-01-08
OUT174,FC179,SIU015,Cleared,2025-03-22
OUT175,FC180,SIU006,Cleared,2025-04-04
OUT176,FC181,SIU020,Cleared,2025-11-21
OUT177,FC182,SIU010,Inconclusive,2025-12-23
OUT178,FC183,SIU004,Cleared,2025-01-11
OUT179,FC184,SIU013,Cleared,2025-04-25
OUT180,FC185,SIU014,ConfirmedFraud,2025-11-22
OUT181,FC186,SIU010,Inconclusive,2025-02-27
OUT182,FC187,SIU009,Inconclusive,2025-11-23
OUT183,FC188,SIU018,ConfirmedFraud,2025-03-20
OUT184,FC189,SIU006,Inconclusive,2025-02-15
OUT185,FC190,SIU009,Inconclusive,2025-11-06
OUT186,FC191,SIU014,Cleared,2025-04-01
OUT187,FC192,SIU015,Cleared,2025-02-04
OUT188,FC193,SIU015,Inconclusive,2025-03-18
OUT189,FC194,SIU013,Cleared,2025-09-24
OUT190,FC195,SIU013,Inconclusive,2025-01-10
OUT191,FC196,SIU019,Cleared,2025-03-07
OUT192,FC197,SIU002,ConfirmedFraud,2025-05-20
OUT193,FC198,SIU003,ConfirmedFraud,2025-06-14
OUT194,FC199,SIU012,ConfirmedFraud,2025-01-09
OUT195,FC200,SIU017,Inconclusive,2025-06-10
OUT196,FC201,SIU004,Inconclusive,2025-04-12
OUT197,FC202,SIU015,ConfirmedFraud,2025-12-16
OUT198,FC203,SIU019,ConfirmedFraud,2025-08-06
OUT199,FC204,SIU014,Inconclusive,2025-08-17
OUT200,FC205,SIU007,ConfirmedFraud,2025-01-09
OUT201,FC206,SIU010,Cleared,2025-04-28
OUT202,FC207,SIU001,Inconclusive,2025-04-28
OUT203,FC208,SIU018,Cleared,2025-10-16
OUT204,FC209,SIU016,Inconclusive,2025-06-03
OUT205,FC210,SIU012,Cleared,2025-04-09
OUT206,FC211,SIU003,Inconclusive,2025-06-23
OUT207,FC212,SIU006,Cleared,2025-02-22
OUT208,FC213,SIU011,Inconclusive,2025-01-31
OUT209,FC214,SIU005,Cleared,2025-03-26
OUT210,FC215,SIU004,Inconclusive,2025-08-01
OUT211,FC216,SIU002,ConfirmedFraud,2025-12-18
OUT212,FC217,SIU006,Cleared,2025-01-12
OUT213,FC218,SIU011,Cleared,2025-10-06
OUT214,FC219,SIU007,Inconclusive,2025-01-13
OUT215,FC220,SIU009,ConfirmedFraud,2025-05-06
OUT216,FC221,SIU008,Cleared,2025-10-22
OUT217,FC222,SIU010,Cleared,2025-11-05
OUT218,FC223,SIU014,Inconclusive,2025-02-14
OUT219,FC224,SIU001,Inconclusive,2025-10-01
OUT220,FC225,SIU009,Inconclusive,2025-01-08
OUT221,FC226,SIU015,Inconclusive,2025-09-14
OUT222,FC227,SIU018,Cleared,2025-03-28
OUT223,FC228,SIU005,ConfirmedFraud,2025-12-17
OUT224,FC229,SIU016,Cleared,2025-04-25
OUT225,FC230,SIU012,Inconclusive,2025-09-08
OUT226,FC231,SIU015,ConfirmedFraud,2025-10-22
OUT227,FC232,SIU019,Inconclusive,2025-02-01
OUT228,FC233,SIU019,ConfirmedFraud,2025-11-28
OUT229,FC234,SIU009,Inconclusive,2025-11-30
OUT230,FC235,SIU013,Inconclusive,2025-07-15
