indicatorId,fraudCaseId,indicatorType,severity,detectedDate
RI001,FC229,InconsistentTimeline,Medium,2025-04-30
RI002,FC182,MismatchedDocumentation,Medium,2025-11-03
RI003,FC146,UnusualClaimFrequency,Medium,2025-10-24
RI004,FC300,HighRiskGeography,Medium,2025-03-03
RI005,FC001,InconsistentTimeline,High,2025-12-13
RI006,FC172,MismatchedDocumentation,High,2025-09-30
RI007,FC107,DuplicateClaimant,High,2025-03-26
RI008,FC112,UnusualClaimFrequency,Medium,2025-04-13
RI009,FC162,MismatchedDocumentation,Medium,2025-06-25
RI010,FC183,InconsistentTimeline,High,2025-10-24
RI011,FC081,MismatchedDocumentation,High,2025-12-28
RI012,FC123,DuplicateClaimant,Low,2025-01-02
RI013,FC220,HighRiskGeography,High,2025-03-01
RI014,FC173,DuplicateClaimant,High,2025-12-31
RI015,FC114,UnusualClaimFrequency,High,2025-09-16
RI016,FC159,DuplicateClaimant,Low,2025-09-10
RI017,FC041,UnusualClaimFrequency,High,2025-03-13
RI018,FC119,DuplicateClaimant,Medium,2025-06-21
RI019,FC006,HighRiskGeography,High,2025-04-22
RI020,FC213,InconsistentTimeline,Low,2025-09-02
RI021,FC255,HighRiskGeography,Low,2025-05-29
RI022,FC103,DuplicateClaimant,High,2025-11-25
RI023,FC004,UnusualClaimFrequency,Low,2025-11-15
RI024,FC072,HighRiskGeography,High,2025-04-10
RI025,FC106,HighRiskGeography,Medium,2025-01-05
RI026,FC257,DuplicateClaimant,High,2025-06-22
RI027,FC159,UnusualClaimFrequency,Low,2025-05-06
RI028,FC060,MismatchedDocumentation,Low,2025-08-09
RI029,FC200,InconsistentTimeline,Low,2025-04-03
RI030,FC181,MismatchedDocumentation,High,2025-12-19
RI031,FC227,UnusualClaimFrequency,High,2025-12-07
RI032,FC241,UnusualClaimFrequency,Low,2025-06-11
RI033,FC044,DuplicateClaimant,Low,2025-07-02
RI034,FC049,DuplicateClaimant,Low,2025-11-30
RI035,FC127,HighRiskGeography,High,2025-08-29
RI036,FC157,InconsistentTimeline,High,2025-10-21
RI037,FC259,DuplicateClaimant,High,2025-01-18
RI038,FC212,InconsistentTimeline,Medium,2025-01-01
RI039,FC131,DuplicateClaimant,Medium,2025-11-07
RI040,FC095,HighRiskGeography,Medium,2025-04-17
RI041,FC133,InconsistentTimeline,Low,2025-03-12
RI042,FC110,MismatchedDocumentation,Medium,2025-01-16
RI043,FC178,UnusualClaimFrequency,Low,2025-02-01
RI044,FC216,InconsistentTimeline,Low,2025-12-16
RI045,FC276,DuplicateClaimant,Medium,2025-03-13
RI046,FC199,InconsistentTimeline,Low,2025-07-24
RI047,FC281,HighRiskGeography,High,2025-07-16
RI048,FC145,InconsistentTimeline,Low,2025-06-09
RI049,FC258,HighRiskGeography,High,2025-05-30
RI050,FC114,InconsistentTimeline,High,2025-12-15
RI051,FC128,UnusualClaimFrequency,Medium,2025-03-05
RI052,FC192,UnusualClaimFrequency,High,2025-08-05
RI053,FC211,MismatchedDocumentation,Low,2025-08-05
RI054,FC147,MismatchedDocumentation,Medium,2025-11-26
RI055,FC028,DuplicateClaimant,High,2025-08-16
RI056,FC228,DuplicateClaimant,Low,2025-10-16
RI057,FC233,MismatchedDocumentation,High,2025-05-29
RI058,FC183,InconsistentTimeline,Low,2025-06-06
RI059,FC053,DuplicateClaimant,Low,2025-11-18
RI060,FC048,DuplicateClaimant,Low,2025-05-27
RI061,FC034,HighRiskGeography,High,2025-01-04
RI062,FC045,MismatchedDocumentation,Medium,2025-03-02
RI063,FC211,MismatchedDocumentation,Medium,2025-12-09
RI064,FC013,HighRiskGeography,Low,2025-09-25
RI065,FC068,DuplicateClaimant,High,2025-07-07
RI066,FC001,HighRiskGeography,Medium,2025-09-13
RI067,FC051,HighRiskGeography,High,2025-12-01
RI068,FC018,DuplicateClaimant,Medium,2025-10-29
RI069,FC207,MismatchedDocumentation,Medium,2025-04-09
RI070,FC098,UnusualClaimFrequency,Medium,2025-10-30
RI071,FC272,MismatchedDocumentation,Low,2025-11-27
RI072,FC012,DuplicateClaimant,Medium,2025-05-30
RI073,FC259,UnusualClaimFrequency,Low,2025-08-22
RI074,FC177,InconsistentTimeline,High,2025-11-22
RI075,FC095,InconsistentTimeline,Medium,2025-08-24
RI076,FC021,UnusualClaimFrequency,Medium,2025-08-13
RI077,FC021,MismatchedDocumentation,Low,2025-06-01
RI078,FC114,InconsistentTimeline,Low,2025-10-03
RI079,FC046,UnusualClaimFrequency,Low,2025-01-13
RI080,FC086,HighRiskGeography,High,2025-03-21
RI081,FC189,UnusualClaimFrequency,Low,2025-08-10
RI082,FC157,MismatchedDocumentation,Medium,2025-03-15
RI083,FC205,MismatchedDocumentation,High,2025-03-21
RI084,FC075,MismatchedDocumentation,High,2025-06-10
RI085,FC262,HighRiskGeography,Medium,2025-01-06
RI086,FC218,UnusualClaimFrequency,High,2025-12-04
RI087,FC129,MismatchedDocumentation,High,2025-11-03
RI088,FC261,InconsistentTimeline,Low,2025-11-09
RI089,FC223,HighRiskGeography,Low,2025-03-25
RI090,FC021,MismatchedDocumentation,Low,2025-05-08
RI091,FC191,InconsistentTimeline,High,2025-03-19
RI092,FC133,MismatchedDocumentation,Medium,2025-04-16
RI093,FC057,MismatchedDocumentation,Low,2025-07-17
RI094,FC262,DuplicateClaimant,High,2025-12-25
RI095,FC229,HighRiskGeography,High,2025-07-06
RI096,FC162,InconsistentTimeline,High,2025-09-08
RI097,FC002,UnusualClaimFrequency,Low,2025-01-30
RI098,FC192,MismatchedDocumentation,High,2025-03-18
RI099,FC043,MismatchedDocumentation,Low,2025-04-14
RI100,FC065,MismatchedDocumentation,Medium,2025-01-24
RI101,FC084,InconsistentTimeline,Medium,2025-05-08
RI102,FC254,UnusualClaimFrequency,Low,2025-01-03
RI103,FC020,InconsistentTimeline,High,2025-02-05
RI104,FC211,UnusualClaimFrequency,Medium,2025-10-08
RI105,FC012,HighRiskGeography,Low,2025-05-20
RI106,FC154,HighRiskGeography,High,2025-03-31
RI107,FC135,HighRiskGeography,High,2025-01-07
RI108,FC115,HighRiskGeography,High,2025-05-22
RI109,FC244,InconsistentTimeline,Medium,2025-05-21
RI110,FC190,InconsistentTimeline,High,2025-08-18
RI111,FC054,UnusualClaimFrequency,Medium,2025-11-29
RI112,FC291,DuplicateClaimant,High,2025-12-16
RI113,FC046,HighRiskGeography,Medium,2025-05-07
RI114,FC037,HighRiskGeography,Medium,2025-09-08
RI115,FC155,HighRiskGeography,Low,2025-04-09
RI116,FC053,HighRiskGeography,High,2025-04-30
RI117,FC206,InconsistentTimeline,Low,2025-05-11
RI118,FC141,InconsistentTimeline,Low,2025-08-24
RI119,FC170,MismatchedDocumentation,High,2025-05-18
RI120,FC054,MismatchedDocumentation,High,2025-10-28
RI121,FC025,InconsistentTimeline,Low,2025-07-03
RI122,FC243,InconsistentTimeline,Low,2025-02-12
RI123,FC008,HighRiskGeography,High,2025-02-15
RI124,FC259,InconsistentTimeline,Medium,2025-08-08
RI125,FC024,InconsistentTimeline,Medium,2025-05-04
RI126,FC283,HighRiskGeography,High,2025-01-07
RI127,FC134,UnusualClaimFrequency,High,2025-07-10
RI128,FC230,DuplicateClaimant,Medium,2025-06-04
RI129,FC270,MismatchedDocumentation,High,2025-11-16
RI130,FC176,MismatchedDocumentation,High,2025-01-29
RI131,FC283,HighRiskGeography,Medium,2025-12-26
RI132,FC139,UnusualClaimFrequency,High,2025-10-10
