communicationId,policyholderId,repId,channel,sentDate,subject
COM0001,PH001,REP004,SMS,2025-08-03,Welcome Message
COM0002,PH001,REP002,Email,2025-01-14,Service Request Update
COM0003,PH001,REP008,SMS,2025-09-26,Payment Confirmation
COM0004,PH002,REP016,SMS,2025-06-23,Policy Update
COM0005,PH002,REP015,SMS,2025-10-31,Welcome Message
COM0006,PH003,REP015,Email,2025-12-22,Renewal Reminder
COM0007,PH003,REP013,SMS,2025-03-29,Payment Confirmation
COM0008,PH004,REP002,PostalMail,2025-04-14,Renewal Reminder
COM0009,PH004,REP015,Email,2025-09-26,Welcome Message
COM0010,PH004,REP013,PhoneCall,2025-10-19,Renewal Reminder
COM0011,PH005,REP006,SMS,2025-05-27,Payment Confirmation
COM0012,PH005,REP005,PhoneCall,2025-02-03,Welcome Message
COM0013,PH005,REP002,PhoneCall,2025-10-30,Service Request Update
COM0014,PH006,REP004,PostalMail,2025-01-10,Service Request Update
COM0015,PH006,REP003,SMS,2025-11-04,Service Request Update
COM0016,PH007,REP007,Email,2025-05-30,Service Request Update
COM0017,PH007,REP013,PhoneCall,2025-05-07,Payment Confirmation
COM0018,PH007,REP018,Email,2025-07-18,Payment Confirmation
COM0019,PH008,REP008,PostalMail,2025-03-09,Renewal Reminder
COM0020,PH009,REP015,PhoneCall,2025-11-25,Renewal Reminder
COM0021,PH010,REP020,PhoneCall,2025-09-07,Payment Confirmation
COM0022,PH010,REP009,Email,2025-09-14,Payment Confirmation
COM0023,PH010,REP003,SMS,2025-11-05,Payment Confirmation
COM0024,PH011,REP010,PhoneCall,2025-05-24,Service Request Update
COM0025,PH011,REP004,PhoneCall,2025-11-12,Renewal Reminder
COM0026,PH011,REP002,SMS,2025-02-28,Welcome Message
COM0027,PH012,REP014,Email,2025-06-07,Welcome Message
COM0028,PH013,REP019,PhoneCall,2025-07-05,Renewal Reminder
COM0029,PH013,REP002,SMS,2025-06-26,Renewal Reminder
COM0030,PH013,REP004,PhoneCall,2025-08-09,Service Request Update
COM0031,PH014,REP003,Email,2025-04-09,Service Request Update
COM0032,PH014,REP018,Email,2025-08-25,Welcome Message
COM0033,PH014,REP003,PostalMail,2025-08-16,Renewal Reminder
COM0034,PH015,REP006,PhoneCall,2025-07-09,Renewal Reminder
COM0035,PH015,REP018,PostalMail,2025-03-21,Welcome Message
COM0036,PH016,REP008,PostalMail,2025-08-06,Service Request Update
COM0037,PH016,REP004,SMS,2025-06-21,Policy Update
COM0038,PH016,REP019,SMS,2025-02-15,Welcome Message
COM0039,PH017,REP005,PhoneCall,2025-12-10,Service Request Update
