policyId,policyholderId,policyLimit,coverageType,premium
POL001,PH153,60000,Home,2776
POL002,PH147,150000,Home,2950
POL003,PH182,75000,Life,6981
POL004,PH150,60000,Auto,4736
POL005,PH035,25000,Home,5889
POL006,PH225,75000,Life,4780
POL007,PH032,150000,Home,682
POL008,PH151,40000,Home,6331
POL009,PH013,100000,Home,2435
POL010,PH272,50000,Home,4308
POL011,PH107,30000,Life,5782
POL012,PH291,40000,Life,1112
POL013,PH298,25000,Life,4851
POL014,PH182,75000,Auto,2331
POL015,PH278,25000,Home,7509
POL016,PH271,100000,Life,7726
POL017,PH295,75000,Life,509
POL018,PH188,75000,Home,3191
POL019,PH294,150000,Auto,417
POL020,PH040,40000,Auto,1788
POL021,PH221,50000,Life,5662
POL022,PH248,60000,Life,7683
POL023,PH013,25000,Home,3378
POL024,PH064,50000,Auto,4284
POL025,PH232,150000,Life,1339
POL026,PH079,75000,Auto,3441
POL027,PH212,50000,Home,6110
POL028,PH273,30000,Home,1589
POL029,PH073,30000,Auto,3327
POL030,PH156,25000,Life,2355
POL031,PH025,100000,Life,2860
POL032,PH149,50000,Life,4652
POL033,PH053,25000,Auto,7652
POL034,PH286,75000,Home,7495
POL035,PH130,50000,Life,3024
POL036,PH049,150000,Auto,4936
POL037,PH265,75000,Auto,5205
POL038,PH108,100000,Home,4187
POL039,PH125,25000,Auto,3346
POL040,PH160,75000,Home,5456
POL041,PH055,60000,Auto,2119
POL042,PH057,150000,Home,837
POL043,PH058,75000,Home,2165
POL044,PH239,50000,Auto,479
POL045,PH213,40000,Auto,5335
POL046,PH151,60000,Auto,7673
POL047,PH264,100000,Auto,4634
POL048,PH025,40000,Auto,3742
POL049,PH163,150000,Auto,5418
POL050,PH277,75000,Life,438
POL051,PH079,40000,Auto,3073
POL052,PH149,100000,Home,3319
POL053,PH125,30000,Life,3384
POL054,PH033,60000,Life,7288
POL055,PH227,150000,Auto,3650
POL056,PH277,50000,Home,5514
POL057,PH124,30000,Auto,3113
POL058,PH212,25000,Auto,2521
POL059,PH091,60000,Home,4510
POL060,PH261,150000,Home,7251
POL061,PH030,150000,Life,5560
POL062,PH213,25000,Life,7802
POL063,PH195,30000,Life,673
POL064,PH259,25000,Home,7912
POL065,PH123,40000,Home,6973
POL066,,75000,Life,5118
POL067,PH263,75000,Home,1357
POL068,PH028,75000,Life,4496
POL069,PH234,25000,Home,2286
POL070,PH175,60000,Home,5755
POL071,PH236,60000,Home,4899
POL072,PH076,100000,Life,6030
POL073,PH121,75000,Life,2650
POL074,PH048,50000,Home,3395
POL075,PH033,100000,Life,3976
POL076,PH045,75000,Home,1170
POL077,PH112,40000,Auto,1264
POL078,PH283,150000,Life,1922
POL079,PH124,75000,Auto,7911
POL080,PH063,40000,Home,3601
POL081,PH129,150000,Life,3962
POL082,PH283,40000,Life,2939
POL083,PH163,60000,Home,1312
POL084,PH144,40000,Auto,4975
POL085,PH257,25000,Auto,5823
POL086,PH035,30000,Life,4270
POL087,PH166,75000,Life,7907
POL088,PH245,60000,Auto,7840
POL089,PH254,40000,Auto,5909
POL090,PH214,40000,Life,2447
POL091,PH021,50000,Home,4688
POL092,PH047,150000,Auto,6882
POL093,PH081,60000,Auto,6418
POL094,PH131,30000,Life,1791
POL095,PH167,30000,Auto,7334
POL096,PH100,50000,Life,4382
POL097,PH300,60000,Home,6963
POL098,PH258,50000,Life,4593
POL099,PH043,75000,Auto,7592
POL100,PH060,30000,Home,6113
POL101,PH195,30000,Life,6894
POL102,PH297,75000,Home,5405
POL103,PH119,30000,Life,3525
POL104,PH292,50000,Home,1864
POL105,PH029,60000,Auto,2403
POL106,PH292,50000,Auto,5306
POL107,PH006,30000,Life,3445
POL108,PH214,60000,Home,4699
POL109,PH073,25000,Auto,483
POL110,PH219,30000,Life,7771
POL111,PH214,30000,Auto,569
POL112,PH033,100000,Life,2094
POL113,PH142,50000,Life,7478
POL114,PH005,25000,Auto,2113
POL115,PH056,100000,Auto,1094
POL116,PH214,50000,Auto,2765
