referralSourceId,fraudCaseId,sourceType,referralDate
RS001,FC001,InternalAudit,2025-03-13
RS002,FC002,LawEnforcementReferral,2025-09-20
RS003,FC003,AnonymousTip,2025-02-04
RS004,FC004,LawEnforcementReferral,2025-05-25
RS005,FC006,LawEnforcementReferral,2025-06-22
RS006,FC007,AnonymousTip,2025-01-27
RS007,FC008,AutomatedFraudModel,2025-03-31
RS008,FC009,ClaimsAdjusterFlag,2025-11-23
RS009,FC010,AutomatedFraudModel,2025-02-11
RS010,FC011,ClaimsAdjusterFlag,2025-02-03
RS011,FC012,LawEnforcementReferral,2025-04-21
RS012,FC013,AnonymousTip,2025-05-16
RS013,FC014,AnonymousTip,2025-09-08
RS014,FC015,InternalAudit,2025-02-07
RS015,FC016,ClaimsAdjusterFlag,2025-04-04
RS016,FC017,LawEnforcementReferral,2025-12-02
RS017,FC018,ClaimsAdjusterFlag,2025-09-03
RS018,FC020,InternalAudit,2025-01-17
RS019,FC021,AnonymousTip,2025-03-12
RS020,FC022,AnonymousTip,2025-07-10
RS021,FC023,ClaimsAdjusterFlag,2025-12-21
RS022,FC024,AutomatedFraudModel,2025-10-26
RS023,FC025,ClaimsAdjusterFlag,2025-07-20
RS024,FC026,LawEnforcementReferral,2025-05-26
RS025,FC027,AutomatedFraudModel,2025-08-15
RS026,FC028,AnonymousTip,2025-01-12
RS027,FC029,AutomatedFraudModel,2025-12-10
RS028,FC030,LawEnforcementReferral,2025-01-03
RS029,FC031,AutomatedFraudModel,2025-08-26
RS030,FC032,ClaimsAdjusterFlag,2025-03-27
RS031,FC033,ClaimsAdjusterFlag,2025-04-22
RS032,FC034,AutomatedFraudModel,2025-10-03
RS033,FC035,ClaimsAdjusterFlag,2025-12-10
RS034,FC036,ClaimsAdjusterFlag,2025-10-13
RS035,FC037,AutomatedFraudModel,2025-02-27
RS036,FC038,AutomatedFraudModel,2025-07-13
RS037,FC039,ClaimsAdjusterFlag,2025-05-11
RS038,FC040,AnonymousTip,2025-09-24
RS039,FC041,ClaimsAdjusterFlag,2025-02-10
RS040,FC042,AnonymousTip,2025-04-23
RS041,FC043,AnonymousTip,2025-10-11
RS042,FC044,AutomatedFraudModel,2025-12-23
RS043,FC045,LawEnforcementReferral,2025-02-25
RS044,FC046,AnonymousTip,2025-08-09
RS045,FC047,ClaimsAdjusterFlag,2025-07-29
RS046,FC048,InternalAudit,2025-01-14
RS047,FC049,ClaimsAdjusterFlag,2025-08-05
RS048,FC050,AnonymousTip,2025-06-15
RS049,FC051,LawEnforcementReferral,2025-02-26
RS050,FC052,ClaimsAdjusterFlag,2025-05-10
RS051,FC053,AutomatedFraudModel,2025-04-20
RS052,FC054,AutomatedFraudModel,2025-03-04
RS053,FC055,AnonymousTip,2025-03-15
RS054,FC056,ClaimsAdjusterFlag,2025-09-03
RS055,FC057,InternalAudit,2025-11-18
RS056,FC058,AutomatedFraudModel,2025-01-01
RS057,FC059,ClaimsAdjusterFlag,2025-05-09
RS058,FC060,InternalAudit,2025-09-19
RS059,FC061,AnonymousTip,2025-07-14
RS060,FC062,InternalAudit,2025-09-11
RS061,FC063,ClaimsAdjusterFlag,2025-02-25
RS062,FC064,ClaimsAdjusterFlag,2025-07-26
RS063,FC065,LawEnforcementReferral,2025-01-20
RS064,FC066,InternalAudit,2025-01-04
RS065,FC067,LawEnforcementReferral,2025-08-28
RS066,FC068,AnonymousTip,2025-12-20
RS067,FC069,AnonymousTip,2025-12-30
RS068,FC070,LawEnforcementReferral,2025-08-05
RS069,FC071,AnonymousTip,2025-11-22
RS070,FC072,InternalAudit,2025-12-20
RS071,FC073,AnonymousTip,2025-03-26
RS072,FC074,AutomatedFraudModel,2025-11-06
RS073,FC075,AnonymousTip,2025-02-19
RS074,FC076,InternalAudit,2025-01-26
RS075,FC077,AnonymousTip,2025-05-16
RS076,FC078,AutomatedFraudModel,2025-06-20
RS077,FC079,LawEnforcementReferral,2025-10-06
RS078,FC080,InternalAudit,2025-05-30
RS079,FC081,AutomatedFraudModel,2025-10-27
RS080,FC082,LawEnforcementReferral,2025-07-02
RS081,FC083,AutomatedFraudModel,2025-11-10
RS082,FC084,AutomatedFraudModel,2025-08-20
RS083,FC085,ClaimsAdjusterFlag,2025-07-14
RS084,FC086,AutomatedFraudModel,2025-06-26
RS085,FC087,InternalAudit,2025-06-04
RS086,FC088,AnonymousTip,2025-09-02
RS087,FC090,InternalAudit,2025-01-30
