renewalId,policyId,renewalDate,proposedPremium,status
REN001,POL029,2025-04-06,3402,Lapsed
REN002,POL278,2026-04-11,8077,Renewed
REN003,POL161,2025-03-22,2413,Renewed
REN004,POL196,2026-02-24,1382,Renewed
REN005,POL228,2026-09-16,1650,Pending
REN006,POL179,2025-12-05,3172,Pending
REN007,POL210,2026-12-28,5900,Pending
REN008,POL241,2025-08-05,2566,Renewed
REN009,POL140,2026-03-22,2981,Renewed
REN010,POL032,2025-01-19,5067,Pending
REN011,POL078,2026-11-11,1786,Pending
REN012,POL072,2026-09-17,6288,Renewed
REN013,POL088,2025-03-22,8336,Renewed
REN014,POL049,2026-05-04,5353,Pending
REN015,POL087,2025-10-09,8148,Renewed
REN016,POL283,2025-09-06,6758,Pending
REN017,POL159,2026-11-11,4258,Renewed
REN018,POL285,2025-12-04,2933,Lapsed
REN019,POL015,2026-02-12,7959,Lapsed
REN020,POL065,2026-03-15,7599,Lapsed
REN021,POL012,2025-09-02,1027,Lapsed
REN022,POL231,2025-12-26,1654,Renewed
REN023,POL150,2025-08-27,2610,Lapsed
REN024,POL120,2025-12-28,2139,Pending
REN025,POL155,2025-02-25,3071,Lapsed
REN026,POL266,2025-11-16,4067,Renewed
REN027,POL123,2026-02-24,4250,Pending
REN028,POL296,2026-10-02,5716,Lapsed
REN029,POL039,2026-01-26,3641,Renewed
REN030,POL239,2025-02-04,6734,Lapsed
REN031,POL268,2026-10-20,8123,Pending
REN032,POL082,2026-02-02,2837,Pending
REN033,POL266,2026-02-13,4040,Lapsed
REN034,POL156,2026-12-08,667,Lapsed
REN035,POL070,2025-12-31,6391,Renewed
REN036,POL287,2026-02-14,5166,Lapsed
REN037,POL092,2026-10-14,7036,Lapsed
REN038,POL222,2025-01-19,6270,Pending
REN039,POL156,2026-07-27,1548,Lapsed
REN040,POL091,2026-12-19,4538,Lapsed
REN041,POL123,2026-11-26,4018,Lapsed
REN042,POL153,2026-11-13,4441,Lapsed
REN043,POL213,2026-06-28,6908,Renewed
REN044,POL053,2025-09-19,3863,Pending
REN045,POL275,2025-12-19,2633,Renewed
REN046,POL275,2026-03-01,2530,Renewed
REN047,POL106,2025-09-04,5123,Lapsed
REN048,POL060,2025-07-23,7905,Pending
REN049,POL019,2025-06-14,879,Pending
REN050,POL097,2025-07-11,7714,Pending
REN051,POL059,2026-09-15,4454,Pending
REN052,POL206,2026-12-15,4825,Pending
REN053,POL025,2025-02-19,1253,Renewed
REN054,POL168,2026-04-01,4536,Pending
REN055,POL058,2026-07-09,3012,Lapsed
REN056,POL025,2025-03-29,1960,Renewed
REN057,POL250,2026-06-18,2591,Pending
REN058,POL143,2025-05-05,7124,Renewed
REN059,POL299,2025-11-14,6892,Renewed
REN060,POL068,2025-06-08,4558,Renewed
REN061,POL261,2026-08-07,3844,Renewed
REN062,POL017,2026-11-24,1147,Lapsed
REN063,POL161,2025-04-30,2304,Pending
REN064,POL219,2025-09-27,7520,Lapsed
REN065,POL264,2026-03-11,629,Renewed
REN066,POL171,2025-08-02,1815,Renewed
REN067,POL010,2025-07-23,5001,Lapsed
REN068,POL020,2025-03-27,2049,Pending
REN069,POL063,2025-09-03,494,Pending
REN070,POL168,2026-06-27,4048,Lapsed
REN071,POL227,2026-04-11,2928,Pending
REN072,POL004,2025-02-06,4607,Renewed
REN073,POL209,2026-08-16,6490,Renewed
REN074,POL019,2025-04-28,1212,Renewed
REN075,POL172,2025-01-03,6743,Pending
REN076,POL159,2026-08-02,4338,Lapsed
REN077,POL271,2025-07-22,3172,Renewed
REN078,POL184,2025-04-28,614,Pending
REN079,POL124,2026-03-04,8243,Lapsed
REN080,POL175,2025-07-23,4872,Pending
REN081,POL022,2026-08-21,7965,Lapsed
REN082,POL081,2026-11-30,4601,Pending
REN083,POL224,2025-04-29,6782,Renewed
REN084,POL281,2025-02-22,3334,Pending
REN085,POL235,2026-05-06,2250,Lapsed
REN086,POL153,2025-01-14,5369,Lapsed
REN087,POL152,2026-10-29,6691,Lapsed
REN088,POL075,2026-08-30,4558,Lapsed
REN089,POL073,2025-06-24,2642,Pending
REN090,POL112,2026-12-21,2158,Lapsed
REN091,POL268,2025-06-18,7480,Lapsed
REN092,POL251,2025-11-24,1117,Pending
REN093,POL043,2025-03-15,2324,Pending
REN094,POL131,2026-09-25,1910,Pending
REN095,POL040,2026-07-04,5457,Lapsed
REN096,POL045,2025-06-13,5266,Lapsed
REN097,POL155,2025-12-20,3261,Renewed
REN098,POL192,2026-05-23,1617,Renewed
REN099,POL223,2025-07-31,2687,Lapsed
REN100,POL248,2025-07-04,7602,Lapsed
REN101,POL046,2025-12-30,8214,Lapsed
REN102,POL013,2026-01-26,5611,Pending
REN103,POL241,2026-02-17,2238,Renewed
REN104,POL144,2025-03-07,7732,Pending
REN105,POL093,2026-05-26,6282,Lapsed
REN106,POL132,2026-09-11,6804,Pending
REN107,POL127,2026-11-01,3068,Renewed
REN108,POL260,2025-05-31,6161,Lapsed
REN109,POL294,2025-06-16,6174,Renewed
REN110,POL280,2026-08-23,8045,Lapsed
REN111,POL094,2026-07-18,1937,Renewed
REN112,POL277,2025-12-15,1606,Pending
REN113,POL258,2025-05-30,4717,Lapsed
REN114,POL245,2026-01-07,2399,Pending
REN115,POL277,2026-07-24,2395,Pending
REN116,POL045,2025-07-19,5880,Lapsed
REN117,POL103,2026-04-27,3589,Lapsed
REN118,POL264,2026-04-07,624,Pending
REN119,POL216,2026-07-18,5906,Renewed
REN120,POL088,2026-12-10,8240,Lapsed
REN121,POL078,2025-04-03,2473,Pending
REN122,POL162,2026-07-19,4778,Pending
REN123,POL124,2025-05-07,7899,Renewed
REN124,POL163,2025-08-26,6266,Renewed
REN125,POL122,2025-11-26,3230,Lapsed
REN126,POL171,2026-09-12,1663,Renewed
REN127,POL269,2026-01-20,7176,Lapsed
REN128,POL011,2025-12-13,6459,Pending
REN129,POL118,2025-10-15,4539,Pending
REN130,POL288,2026-06-11,3207,Pending
REN131,POL277,2026-06-27,2047,Renewed
REN132,POL145,2025-04-06,3399,Lapsed
REN133,POL138,2025-07-15,3608,Renewed
REN134,POL202,2025-09-28,952,Renewed
REN135,POL148,2026-05-13,5292,Lapsed
REN136,POL291,2026-06-23,5095,Pending
REN137,POL122,2026-02-19,3222,Renewed
REN138,POL003,2025-09-04,7450,Lapsed
REN139,POL036,2025-11-02,4960,Lapsed
REN140,POL203,2025-09-25,5717,Lapsed
REN141,POL004,2026-05-27,5361,Pending
REN142,POL243,2025-02-06,6041,Pending
