offerId,renewalId,discountPercent,offerType,expiryDate
OFR001,REN006,10,BundleUpgrade,2026-10-28
OFR002,REN100,20,PremiumFreeze,2026-05-21
OFR003,REN275,15,DeductibleReduction,2026-01-01
OFR004,REN272,10,DeductibleReduction,2026-07-11
OFR005,REN294,10,DeductibleReduction,2026-10-04
OFR006,REN069,5,LoyaltyDiscount,2026-05-26
OFR007,REN283,5,BundleUpgrade,2026-07-14
OFR008,REN228,15,BundleUpgrade,2026-10-22
OFR009,REN140,5,LoyaltyDiscount,2026-05-22
OFR010,REN012,15,DeductibleReduction,2026-07-01
OFR011,REN295,5,DeductibleReduction,2026-08-17
OFR012,REN232,20,DeductibleReduction,2026-08-24
OFR013,REN223,20,DeductibleReduction,2026-12-03
OFR014,REN098,20,BundleUpgrade,2026-07-28
OFR015,REN274,15,DeductibleReduction,2026-07-05
OFR016,REN052,5,DeductibleReduction,2026-12-26
OFR017,REN035,10,PremiumFreeze,2026-03-04
OFR018,REN235,15,BundleUpgrade,2026-09-20
OFR019,REN113,10,DeductibleReduction,2026-09-06
OFR020,REN220,10,LoyaltyDiscount,2026-05-18
OFR021,REN208,10,DeductibleReduction,2026-11-11
OFR022,REN286,20,LoyaltyDiscount,2026-05-05
OFR023,REN225,15,DeductibleReduction,2026-05-05
OFR024,REN073,20,BundleUpgrade,2026-07-06
OFR025,REN249,5,LoyaltyDiscount,2026-06-26
OFR026,REN176,20,LoyaltyDiscount,2026-04-19
OFR027,REN065,15,BundleUpgrade,2026-02-28
OFR028,REN092,5,BundleUpgrade,2026-09-02
OFR029,REN126,10,BundleUpgrade,2026-12-30
OFR030,REN248,15,PremiumFreeze,2026-10-31
OFR031,REN195,20,PremiumFreeze,2026-02-12
OFR032,REN060,5,LoyaltyDiscount,2026-10-15
OFR033,REN107,15,PremiumFreeze,2026-03-17
OFR034,REN145,5,BundleUpgrade,2026-09-25
OFR035,REN106,5,DeductibleReduction,2026-07-31
OFR036,REN271,10,DeductibleReduction,2026-04-25
OFR037,REN237,5,PremiumFreeze,2026-01-06
OFR038,REN194,15,PremiumFreeze,2026-09-14
OFR039,REN207,5,LoyaltyDiscount,2026-05-11
OFR040,REN261,15,PremiumFreeze,2026-03-24
OFR041,REN125,15,DeductibleReduction,2026-03-11
OFR042,REN185,20,BundleUpgrade,2026-09-21
OFR043,REN124,15,DeductibleReduction,2026-09-10
OFR044,REN234,15,DeductibleReduction,2026-12-19
OFR045,REN051,5,BundleUpgrade,2026-10-25
OFR046,REN085,15,DeductibleReduction,2026-12-28
OFR047,REN178,10,BundleUpgrade,2026-03-20
OFR048,REN038,20,PremiumFreeze,2026-07-23
OFR049,REN161,20,PremiumFreeze,2026-07-21
OFR050,REN180,20,DeductibleReduction,2026-12-02
OFR051,REN013,20,BundleUpgrade,2026-04-24
OFR052,REN072,20,PremiumFreeze,2026-04-24
OFR053,REN226,20,LoyaltyDiscount,2026-02-06
OFR054,REN175,10,PremiumFreeze,2026-05-03
OFR055,REN268,10,BundleUpgrade,2026-04-18
OFR056,REN196,10,PremiumFreeze,2026-05-03
OFR057,REN064,10,DeductibleReduction,2026-07-05
OFR058,REN266,5,LoyaltyDiscount,2026-02-19
OFR059,REN148,5,LoyaltyDiscount,2026-10-04
OFR060,REN179,15,BundleUpgrade,2026-04-08
